det_crop,photo,gt_index,iou,conf,status
suwon__3__crop_003,suwon__3,1,0.8349,0.3817,TP
suwon__30__crop_001,suwon__30,1,0.5877,0.1967,TP
suwon__31__crop_001,suwon__31,1,0.9199,0.9666,TP
suwon__32__crop_001,suwon__32,1,0.9478,0.9445,TP
suwon__33__crop_001,suwon__33,1,0.7271,0.8112,TP
suwon__33__crop_002,suwon__33,,0.0,0.6298,FP
suwon__33__crop_003,suwon__33,,0.0,0.3108,FP
suwon__34__crop_001,suwon__34,1,0.9512,0.2528,TP
suwon__34__crop_002,suwon__34,,0.0,0.1301,FP
suwon__35__crop_001,suwon__35,1,0.9585,0.9525,TP
suwon__36__crop_001,suwon__36,1,0.9073,0.9119,TP
suwon__36__crop_002,suwon__36,2,0.9388,0.4946,TP
,suwon__36,3,0.0,,FN
suwon__37__crop_001,suwon__37,1,0.9714,0.942,TP
suwon__37__crop_002,suwon__37,2,0.7374,0.8458,TP
suwon__37__crop_003,suwon__37,,0.0,0.5936,FP
suwon__37__crop_004,suwon__37,,0.0,0.5467,FP
suwon__37__crop_005,suwon__37,,0.0,0.3637,FP
suwon__37__crop_006,suwon__37,,0.0,0.128,FP
suwon__38__crop_001,suwon__38,1,0.8629,0.9343,TP
suwon__39__crop_001,suwon__39,1,0.9606,0.9741,TP
suwon__4__crop_001,suwon__4,1,0.9768,0.9716,TP
,suwon__4,2,0.0,,FN
suwon__40__crop_001,suwon__40,1,0.6962,0.9588,TP
,suwon__40,2,0.0,,FN
suwon__41__crop_001,suwon__41,1,0.8961,0.9413,TP
suwon__41__crop_002,suwon__41,,0.0,0.9294,FP
suwon__41__crop_003,suwon__41,,0.0,0.2932,FP
suwon__42__crop_001,suwon__42,3,0.9655,0.97,TP
suwon__42__crop_002,suwon__42,1,0.965,0.9409,TP
suwon__42__crop_003,suwon__42,2,0.7804,0.9098,TP
suwon__43__crop_001,suwon__43,1,0.6417,0.4503,TP
,suwon__43,2,0.0,,FN
suwon__44__crop_001,suwon__44,1,0.8881,0.9723,TP
suwon__44__crop_002,suwon__44,,0.0,0.7737,FP
suwon__45__crop_001,suwon__45,2,0.9685,0.9278,TP
suwon__45__crop_002,suwon__45,1,0.9843,0.7579,TP
suwon__45__crop_003,suwon__45,,0.0,0.2878,FP
suwon__46__crop_001,suwon__46,1,0.756,0.8469,TP
suwon__46__crop_002,suwon__46,2,0.9056,0.7016,TP
suwon__47__crop_001,suwon__47,2,0.9624,0.952,TP
suwon__47__crop_002,suwon__47,1,0.9466,0.2437,TP
suwon__47__crop_003,suwon__47,,0.0,0.1883,FP
suwon__48__crop_001,suwon__48,1,0.9755,0.9556,TP
suwon__48__crop_002,suwon__48,,0.0,0.8858,FP
suwon__49__crop_001,suwon__49,1,0.9669,0.9772,TP
,suwon__5,1,0.0,,FN
suwon__50__crop_001,suwon__50,2,0.9682,0.9696,TP
suwon__50__crop_002,suwon__50,1,0.9494,0.9479,TP
suwon__50__crop_003,suwon__50,,0.0,0.2361,FP
suwon__51__crop_001,suwon__51,1,0.9735,0.9728,TP
suwon__52__crop_001,suwon__52,1,0.9456,0.9287,TP
suwon__53__crop_001,suwon__53,1,0.9513,0.651,TP
suwon__53__crop_002,suwon__53,,0.0,0.1479,FP
suwon__54__crop_001,suwon__54,1,0.9654,0.9557,TP
suwon__55__crop_001,suwon__55,1,0.9665,0.975,TP
suwon__56__crop_001,suwon__56,1,0.9672,0.9673,TP
suwon__57__crop_001,suwon__57,1,0.9033,0.4685,TP
suwon__58__crop_001,suwon__58,2,0.984,0.9162,TP
suwon__58__crop_002,suwon__58,1,0.9509,0.6681,TP
suwon__58__crop_003,suwon__58,,0.0,0.3053,FP
suwon__59__crop_001,suwon__59,,0.4008,0.9374,FP
suwon__59__crop_002,suwon__59,,0.0,0.4029,FP
,suwon__59,1,0.0,,FN
,suwon__59,2,0.0,,FN
,suwon__59,3,0.0,,FN
suwon__6__crop_001,suwon__6,,0.0,0.8423,FP
suwon__6__crop_002,suwon__6,,0.4177,0.687,FP
suwon__6__crop_003,suwon__6,,0.0,0.5549,FP
suwon__6__crop_004,suwon__6,1,0.6776,0.4789,TP
suwon__60__crop_001,suwon__60,1,0.9391,0.9658,TP
suwon__60__crop_002,suwon__60,2,0.9465,0.9141,TP
suwon__61__crop_001,suwon__61,2,0.9294,0.8044,TP
suwon__61__crop_002,suwon__61,1,0.7797,0.5601,TP
suwon__62__crop_001,suwon__62,2,0.9418,0.9606,TP
suwon__62__crop_002,suwon__62,1,0.9726,0.795,TP
suwon__63__crop_001,suwon__63,1,0.9384,0.6551,TP
suwon__64__crop_001,suwon__64,1,0.9563,0.9185,TP
suwon__65__crop_001,suwon__65,2,0.929,0.9595,TP
suwon__65__crop_002,suwon__65,,0.0,0.7745,FP
,suwon__65,1,0.0,,FN
suwon__66__crop_001,suwon__66,1,0.9494,0.9855,TP
suwon__66__crop_002,suwon__66,2,0.9184,0.9508,TP
suwon__67__crop_001,suwon__67,,0.3124,0.2983,FP
,suwon__67,1,0.0,,FN
suwon__68__crop_001,suwon__68,1,0.7211,0.9425,TP
suwon__68__crop_002,suwon__68,,0.0,0.7249,FP
suwon__69__crop_001,suwon__69,,0.0458,0.7915,FP
suwon__69__crop_002,suwon__69,1,0.8538,0.5449,TP
suwon__69__crop_003,suwon__69,,0.0,0.1642,FP
suwon__7__crop_001,suwon__7,1,0.9358,0.9651,TP
suwon__7__crop_002,suwon__7,,0.0,0.2252,FP
suwon__70__crop_001,suwon__70,1,0.9259,0.8975,TP
suwon__70__crop_002,suwon__70,,0.0,0.2382,FP
suwon__70__crop_003,suwon__70,,0.0,0.1723,FP
,suwon__71,1,0.0,,FN
suwon__72__crop_001,suwon__72,1,0.7801,0.7418,TP
suwon__73__crop_001,suwon__73,,0.0,0.7918,FP
suwon__73__crop_002,suwon__73,2,0.6823,0.6512,TP
suwon__73__crop_003,suwon__73,1,0.9139,0.361,TP
suwon__74__crop_001,suwon__74,1,0.9487,0.9657,TP
suwon__75__crop_001,suwon__75,1,0.918,0.2863,TP
suwon__75__crop_002,suwon__75,,0.0,0.2491,FP
suwon__75__crop_003,suwon__75,,0.0,0.1374,FP
suwon__76__crop_001,suwon__76,2,0.9847,0.9702,TP
suwon__76__crop_002,suwon__76,1,0.9467,0.9638,TP
suwon__77__crop_001,suwon__77,2,0.9374,0.2134,TP
,suwon__77,1,0.0,,FN
suwon__78__crop_001,suwon__78,1,0.8639,0.8581,TP
suwon__79__crop_001,suwon__79,1,0.9522,0.1322,TP
suwon__8__crop_001,suwon__8,1,0.9374,0.8729,TP
suwon__80__crop_001,suwon__80,,0.0,0.9447,FP
suwon__80__crop_002,suwon__80,1,0.6495,0.7032,TP
suwon__81__crop_001,suwon__81,1,0.9517,0.8382,TP
suwon__81__crop_002,suwon__81,,0.0,0.4363,FP
suwon__82__crop_001,suwon__82,1,0.7877,0.7851,TP
suwon__83__crop_001,suwon__83,1,0.8922,0.5932,TP
,suwon__83,2,0.0,,FN
suwon__84__crop_001,suwon__84,1,0.946,0.9338,TP
suwon__85__crop_001,suwon__85,,0.4447,0.6058,FP
,suwon__85,1,0.0,,FN
suwon__86__crop_001,suwon__86,1,0.9807,0.9786,TP
suwon__86__crop_002,suwon__86,2,0.9583,0.9541,TP
suwon__87__crop_001,suwon__87,1,0.8609,0.4845,TP
suwon__88__crop_001,suwon__88,,0.3153,0.7633,FP
suwon__88__crop_002,suwon__88,1,0.8834,0.1185,TP
suwon__88__crop_003,suwon__88,,0.0,0.1021,FP
suwon__89__crop_001,suwon__89,1,0.9052,0.9528,TP
suwon__9__crop_001,suwon__9,1,0.8928,0.8909,TP
suwon__9__crop_002,suwon__9,2,0.9581,0.7317,TP
suwon__9__crop_003,suwon__9,,0.0,0.1512,FP
suwon__90__crop_001,suwon__90,1,0.8947,0.7996,TP
suwon__91__crop_001,suwon__91,1,0.9466,0.9292,TP
suwon__92__crop_001,suwon__92,1,0.962,0.9808,TP
suwon__93__crop_001,suwon__93,1,0.9347,0.9124,TP
suwon__93__crop_002,suwon__93,2,0.9249,0.2877,TP
suwon__94__crop_001,suwon__94,,0.0,0.7909,FP
suwon__94__crop_002,suwon__94,1,0.765,0.3757,TP
suwon__94__crop_003,suwon__94,,0.0,0.3462,FP
suwon__95__crop_001,suwon__95,1,0.9825,0.1046,TP
suwon__96__crop_001,suwon__96,,0.0123,0.8225,FP
suwon__96__crop_002,suwon__96,,0.2164,0.5626,FP
suwon__96__crop_003,suwon__96,1,0.944,0.3803,TP
suwon__96__crop_004,suwon__96,,0.0,0.2061,FP
suwon__97__crop_001,suwon__97,1,0.9678,0.9598,TP
suwon__98__crop_001,suwon__98,1,0.9233,0.9824,TP
suwon__99__crop_001,suwon__99,1,0.9748,0.9729,TP
