det_crop,photo,gt_index,iou,conf,status
brooklyn__37__crop_002,brooklyn__37,2,0.9777,0.442,TP
brooklyn__39__crop_001,brooklyn__39,,0.057,0.9552,FP
brooklyn__39__crop_002,brooklyn__39,,0.0,0.4275,FP
,brooklyn__39,1,0.0,,FN
,brooklyn__39,2,0.0,,FN
brooklyn__4__crop_001,brooklyn__4,1,0.9186,0.6135,TP
brooklyn__4__crop_002,brooklyn__4,,0.0,0.5238,FP
brooklyn__4__crop_003,brooklyn__4,,0.0,0.466,FP
brooklyn__40__crop_001,brooklyn__40,,0.0,0.6695,FP
brooklyn__40__crop_002,brooklyn__40,1,0.877,0.1335,TP
brooklyn__41__crop_001,brooklyn__41,1,0.9582,0.7499,TP
brooklyn__42__crop_001,brooklyn__42,1,0.8931,0.3593,TP
brooklyn__42__crop_002,brooklyn__42,,0.0,0.1102,FP
brooklyn__43__crop_001,brooklyn__43,1,0.9502,0.9549,TP
brooklyn__43__crop_002,brooklyn__43,,0.0,0.7998,FP
brooklyn__44__crop_001,brooklyn__44,1,0.5156,0.8294,TP
brooklyn__45__crop_001,brooklyn__45,2,0.9521,0.9399,TP
brooklyn__45__crop_002,brooklyn__45,1,0.9321,0.6606,TP
brooklyn__45__crop_003,brooklyn__45,,0.0,0.1006,FP
brooklyn__46__crop_001,brooklyn__46,,0.0,0.5088,FP
brooklyn__46__crop_002,brooklyn__46,1,0.6707,0.4969,TP
brooklyn__47__crop_001,brooklyn__47,1,0.9678,0.9702,TP
brooklyn__47__crop_002,brooklyn__47,,0.2313,0.3696,FP
brooklyn__47__crop_003,brooklyn__47,,0.459,0.1747,FP
brooklyn__47__crop_004,brooklyn__47,,0.2325,0.1692,FP
,brooklyn__47,2,0.0,,FN
brooklyn__48__crop_001,brooklyn__48,2,0.9721,0.9365,TP
brooklyn__48__crop_002,brooklyn__48,1,0.9308,0.9245,TP
brooklyn__48__crop_003,brooklyn__48,,0.0,0.1058,FP
brooklyn__49__crop_001,brooklyn__49,1,0.9553,0.9632,TP
brooklyn__49__crop_002,brooklyn__49,2,0.8465,0.9479,TP
brooklyn__5__crop_001,brooklyn__5,1,0.9436,0.9687,TP
brooklyn__5__crop_002,brooklyn__5,2,0.9559,0.9585,TP
brooklyn__50__crop_001,brooklyn__50,,0.0,0.7745,FP
brooklyn__50__crop_002,brooklyn__50,1,0.8063,0.3662,TP
brooklyn__50__crop_003,brooklyn__50,,0.0,0.3631,FP
brooklyn__50__crop_004,brooklyn__50,,0.0,0.1214,FP
brooklyn__51__crop_001,brooklyn__51,1,0.981,0.979,TP
brooklyn__52__crop_001,brooklyn__52,1,0.9673,0.8568,TP
brooklyn__52__crop_002,brooklyn__52,,0.0,0.4665,FP
brooklyn__53__crop_001,brooklyn__53,1,0.8618,0.4539,TP
brooklyn__54__crop_001,brooklyn__54,1,0.9665,0.9342,TP
brooklyn__54__crop_002,brooklyn__54,2,0.8998,0.9321,TP
brooklyn__54__crop_003,brooklyn__54,,0.0,0.9164,FP
brooklyn__55__crop_001,brooklyn__55,1,0.8987,0.851,TP
brooklyn__55__crop_002,brooklyn__55,,0.0,0.258,FP
brooklyn__55__crop_003,brooklyn__55,,0.0,0.243,FP
brooklyn__55__crop_004,brooklyn__55,,0.0,0.2064,FP
brooklyn__55__crop_005,brooklyn__55,,0.0,0.1044,FP
brooklyn__56__crop_001,brooklyn__56,1,0.9128,0.9437,TP
brooklyn__57__crop_001,brooklyn__57,1,0.9668,0.9596,TP
brooklyn__57__crop_002,brooklyn__57,2,0.9176,0.9586,TP
brooklyn__57__crop_003,brooklyn__57,3,0.6657,0.8558,TP
brooklyn__57__crop_004,brooklyn__57,,0.0,0.1145,FP
brooklyn__58__crop_001,brooklyn__58,1,0.8597,0.9545,TP
brooklyn__58__crop_002,brooklyn__58,,0.0,0.4825,FP
brooklyn__59__crop_001,brooklyn__59,,0.0,0.6309,FP
brooklyn__59__crop_002,brooklyn__59,1,0.9192,0.6015,TP
brooklyn__59__crop_003,brooklyn__59,,0.0,0.3614,FP
brooklyn__59__crop_004,brooklyn__59,,0.0,0.1112,FP
brooklyn__6__crop_001,brooklyn__6,1,0.9371,0.8445,TP
brooklyn__6__crop_002,brooklyn__6,,0.0,0.3951,FP
brooklyn__60__crop_001,brooklyn__60,1,0.9539,0.8517,TP
brooklyn__60__crop_002,brooklyn__60,,0.4457,0.826,FP
brooklyn__60__crop_003,brooklyn__60,,0.0001,0.623,FP
brooklyn__60__crop_004,brooklyn__60,3,0.7902,0.2689,TP
,brooklyn__60,2,0.0,,FN
,brooklyn__60,4,0.0,,FN
brooklyn__61__crop_001,brooklyn__61,1,0.5448,0.6504,TP
brooklyn__61__crop_002,brooklyn__61,2,0.9119,0.1816,TP
brooklyn__61__crop_003,brooklyn__61,,0.0,0.1452,FP
brooklyn__62__crop_001,brooklyn__62,1,0.923,0.959,TP
,brooklyn__62,2,0.0,,FN
brooklyn__63__crop_001,brooklyn__63,1,0.9592,0.6476,TP
,brooklyn__63,2,0.0,,FN
brooklyn__64__crop_001,brooklyn__64,1,0.8402,0.8589,TP
brooklyn__64__crop_002,brooklyn__64,,0.0,0.1506,FP
brooklyn__64__crop_003,brooklyn__64,,0.0,0.1456,FP
brooklyn__65__crop_001,brooklyn__65,1,0.8984,0.903,TP
brooklyn__66__crop_001,brooklyn__66,2,0.9352,0.6575,TP
brooklyn__66__crop_002,brooklyn__66,1,0.9643,0.6144,TP
brooklyn__66__crop_003,brooklyn__66,,0.0,0.2917,FP
brooklyn__66__crop_004,brooklyn__66,,0.0,0.1034,FP
brooklyn__67__crop_001,brooklyn__67,1,0.882,0.952,TP
brooklyn__68__crop_001,brooklyn__68,1,0.9515,0.8519,TP
brooklyn__68__crop_002,brooklyn__68,2,0.9415,0.6369,TP
brooklyn__68__crop_003,brooklyn__68,,0.0,0.568,FP
brooklyn__69__crop_001,brooklyn__69,1,0.832,0.8378,TP
brooklyn__69__crop_002,brooklyn__69,3,0.6645,0.7557,TP
brooklyn__69__crop_003,brooklyn__69,,0.0,0.6512,FP
,brooklyn__69,2,0.0,,FN
brooklyn__7__crop_001,brooklyn__7,1,0.9462,0.9132,TP
brooklyn__7__crop_002,brooklyn__7,,0.0,0.1328,FP
brooklyn__70__crop_001,brooklyn__70,1,0.9173,0.9404,TP
brooklyn__70__crop_002,brooklyn__70,2,0.9159,0.9399,TP
brooklyn__71__crop_001,brooklyn__71,1,0.972,0.9571,TP
brooklyn__71__crop_002,brooklyn__71,,0.0,0.3482,FP
brooklyn__72__crop_001,brooklyn__72,1,0.8216,0.8709,TP
brooklyn__72__crop_002,brooklyn__72,,0.0,0.1916,FP
brooklyn__73__crop_001,brooklyn__73,1,0.9336,0.953,TP
brooklyn__73__crop_002,brooklyn__73,2,0.9167,0.6376,TP
brooklyn__74__crop_001,brooklyn__74,2,0.8588,0.9259,TP
brooklyn__74__crop_002,brooklyn__74,1,0.9288,0.5243,TP
brooklyn__75__crop_001,brooklyn__75,2,0.9319,0.9117,TP
brooklyn__75__crop_002,brooklyn__75,1,0.9652,0.907,TP
brooklyn__75__crop_003,brooklyn__75,,0.0,0.5367,FP
brooklyn__76__crop_001,brooklyn__76,1,0.9587,0.9224,TP
brooklyn__76__crop_002,brooklyn__76,,0.0,0.9021,FP
brooklyn__76__crop_003,brooklyn__76,,0.0,0.7157,FP
brooklyn__77__crop_001,brooklyn__77,1,0.9459,0.9813,TP
brooklyn__77__crop_002,brooklyn__77,2,0.9723,0.9432,TP
brooklyn__78__crop_001,brooklyn__78,1,0.9286,0.5234,TP
brooklyn__79__crop_001,brooklyn__79,1,0.913,0.8954,TP
brooklyn__79__crop_002,brooklyn__79,,0.0,0.7141,FP
brooklyn__79__crop_003,brooklyn__79,2,0.8928,0.3168,TP
brooklyn__8__crop_001,brooklyn__8,1,0.9462,0.9562,TP
brooklyn__8__crop_002,brooklyn__8,,0.0,0.287,FP
brooklyn__8__crop_003,brooklyn__8,,0.0,0.1555,FP
brooklyn__80__crop_001,brooklyn__80,1,0.98,0.9443,TP
brooklyn__80__crop_002,brooklyn__80,3,0.8413,0.8109,TP
brooklyn__80__crop_003,brooklyn__80,2,0.9309,0.7332,TP
brooklyn__80__crop_004,brooklyn__80,,0.0,0.5806,FP
brooklyn__81__crop_001,brooklyn__81,1,0.9276,0.5058,TP
brooklyn__81__crop_002,brooklyn__81,,0.0,0.1269,FP
brooklyn__82__crop_001,brooklyn__82,2,0.9496,0.942,TP
brooklyn__82__crop_002,brooklyn__82,3,0.9394,0.1469,TP
brooklyn__82__crop_003,brooklyn__82,1,0.6274,0.1398,TP
brooklyn__83__crop_001,brooklyn__83,2,0.9452,0.9723,TP
brooklyn__83__crop_002,brooklyn__83,1,0.592,0.5325,TP
brooklyn__83__crop_003,brooklyn__83,,0.0,0.3981,FP
brooklyn__84__crop_001,brooklyn__84,1,0.912,0.924,TP
brooklyn__85__crop_001,brooklyn__85,2,0.9514,0.8353,TP
,brooklyn__85,1,0.0,,FN
brooklyn__86__crop_001,brooklyn__86,1,0.9575,0.768,TP
brooklyn__86__crop_002,brooklyn__86,2,0.9228,0.4377,TP
brooklyn__86__crop_003,brooklyn__86,,0.0,0.1965,FP
brooklyn__87__crop_001,brooklyn__87,1,0.9437,0.9136,TP
brooklyn__88__crop_001,brooklyn__88,1,0.9597,0.9181,TP
brooklyn__89__crop_001,brooklyn__89,1,0.9634,0.9698,TP
brooklyn__9__crop_001,brooklyn__9,1,0.9405,0.6925,TP
brooklyn__90__crop_001,brooklyn__90,1,0.9421,0.9949,TP
brooklyn__90__crop_002,brooklyn__90,2,0.8742,0.97,TP
brooklyn__91__crop_001,brooklyn__91,1,0.9161,0.9507,TP
brooklyn__91__crop_002,brooklyn__91,3,0.867,0.4087,TP
brooklyn__91__crop_003,brooklyn__91,2,0.9408,0.2954,TP
brooklyn__92__crop_001,brooklyn__92,1,0.8012,0.9616,TP
brooklyn__92__crop_002,brooklyn__92,2,0.8315,0.8192,TP
brooklyn__92__crop_003,brooklyn__92,,0.0,0.2739,FP
brooklyn__93__crop_001,brooklyn__93,1,0.9604,0.9485,TP
brooklyn__93__crop_002,brooklyn__93,,0.0,0.3373,FP
brooklyn__94__crop_001,brooklyn__94,2,0.909,0.9537,TP
brooklyn__94__crop_002,brooklyn__94,1,0.8822,0.9103,TP
brooklyn__94__crop_003,brooklyn__94,3,0.8462,0.5752,TP
brooklyn__94__crop_004,brooklyn__94,,0.0,0.2022,FP
brooklyn__95__crop_001,brooklyn__95,2,0.8776,0.8651,TP
brooklyn__95__crop_002,brooklyn__95,1,0.9214,0.846,TP
brooklyn__96__crop_001,brooklyn__96,1,0.8547,0.8542,TP
brooklyn__96__crop_002,brooklyn__96,,0.0,0.1866,FP
brooklyn__96__crop_003,brooklyn__96,,0.0,0.1286,FP
brooklyn__97__crop_001,brooklyn__97,3,0.984,0.9664,TP
brooklyn__97__crop_002,brooklyn__97,2,0.9309,0.9527,TP
brooklyn__97__crop_003,brooklyn__97,1,0.9304,0.9249,TP
brooklyn__98__crop_001,brooklyn__98,,0.0,0.7379,FP
brooklyn__98__crop_002,brooklyn__98,1,0.9543,0.7133,TP
brooklyn__98__crop_003,brooklyn__98,3,0.9026,0.7124,TP
brooklyn__98__crop_004,brooklyn__98,2,0.906,0.5269,TP
brooklyn__98__crop_005,brooklyn__98,,0.0,0.3406,FP
brooklyn__98__crop_006,brooklyn__98,,0.0,0.1416,FP
brooklyn__98__crop_007,brooklyn__98,,0.0,0.1127,FP
brooklyn__99__crop_001,brooklyn__99,,0.0,0.7236,FP
brooklyn__99__crop_002,brooklyn__99,1,0.9521,0.6427,TP
brooklyn__99__crop_003,brooklyn__99,2,0.8172,0.1599,TP
