image_name,region,name,tag,verdict,ts
gangnam__22__crop_001,gangnam,혜화 돌쇠 아저씨,amenity=restaurant,ok,2026-08-10 04:02:57
gangnam__23__crop_001,gangnam,문교동낙지,amenity=restaurant,ok,2026-08-10 04:03:01
gangnam__24__crop_001,gangnam,SUBWAY,amenity=fast_food,ok,2026-08-10 04:03:03
gangnam__25__crop_001,gangnam,GOLD,,name_only,2026-08-10 04:03:27
gangnam__27__crop_001,gangnam,CU,shop=convenience,ok,2026-08-10 04:03:30
gangnam__28__crop_001,gangnam,THE CAFE 8 6 8,amenity=cafe,ok,2026-08-10 04:03:32
gangnam__29__crop_001,gangnam,라이브 유흥주점,amenity=bar,ok,2026-08-10 04:03:36
gangnam__2__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,ok,2026-08-10 04:03:41
gangnam__30__crop_001,gangnam,Emoi,amenity=restaurant,ok,2026-08-10 04:03:45
gangnam__31__crop_001,gangnam,정통중국요리,amenity=restaurant,ok,2026-08-10 04:03:49
gangnam__32__crop_001,gangnam,IZAKAYA TAN,amenity=bar,ok,2026-08-10 04:03:57
gangnam__33__crop_001,gangnam,DUNKIN,shop=bakery,ok,2026-08-10 04:04:05
gangnam__34__crop_001,gangnam,MINI STOP,shop=convenience,ok,2026-08-10 04:04:11
gangnam__35__crop_001,gangnam,olleh O,shop=mobile_phone,ok,2026-08-10 04:04:15
gangnam__35__crop_002,gangnam,효성해링턴타워,,non,2026-08-10 04:04:19
gangnam__35__crop_004,gangnam,olleh O,shop=mobile_phone,ok,2026-08-10 04:04:24
gangnam__35__crop_006,gangnam,효성해링턴타워,,non,2026-08-10 04:04:26
gangnam__37__crop_001,gangnam,eye scream,shop=optician,ok,2026-08-10 04:04:37
gangnam__1__crop_001,gangnam,milk,amenity=Karaoke,ok,2026-08-10 04:04:55
gangnam__1__crop_001,gangnam,milk,amenity=karaoke,ok,2026-08-10 04:05:03
gangnam__35__crop_002,gangnam,효성해링턴타워,office=building,ok,2026-08-10 04:05:30
gangnam__35__crop_006,gangnam,효성해링턴타워,office=building,ok,2026-08-10 04:05:33
gangnam__37__crop_001,gangnam,eye scream,shop=optician,ok,2026-08-10 04:05:33
gangnam__38__crop_001,gangnam,CANDLE SOAP,amenity=cafe,ok,2026-08-10 04:05:39
gangnam__39__crop_001,gangnam,쭈꾸미불낙,amenity=restaurant,ok,2026-08-10 04:05:41
gangnam__3__crop_001,gangnam,Japanese Spaghetti,amenity=restaurant,ok,2026-08-10 04:05:45
gangnam__3__crop_001,gangnam,Yomenya Goemon Japanese Spaghetti,amenity=restaurant,ok,2026-08-10 04:05:58
gangnam__40__crop_001,gangnam,로빈힐,amenity=bar,ok,2026-08-10 04:06:04
gangnam__41__crop_001,gangnam,모닝글로리,shop=stationery_store,ok,2026-08-10 04:07:54
gangnam__42__crop_001,gangnam,흑마늘족발 보쌈 순대국,amenity=restaurant,ok,2026-08-10 04:07:58
gangnam__43__crop_001,gangnam,7 ELEVEN,shop=convenience,ok,2026-08-10 04:08:06
gangnam__44__crop_001,gangnam,7 ELEVEN,shop=convenience,ok,2026-08-10 04:08:10
gangnam__44__crop_002,gangnam,영 동 껍데기,amenity=restaurant,ok,2026-08-10 04:08:35
gangnam__45__crop_001,gangnam,영동 껍데기 소금구이,amenity=restaurant,ok,2026-08-10 04:08:40
gangnam__46__crop_001,gangnam,통돼지찌개집,amenity=restaurant,ok,2026-08-10 04:08:43
gangnam__47__crop_001,gangnam,나주,amenity=restaurant,ok,2026-08-10 04:08:49
gangnam__48__crop_001,gangnam,FOOD,amenity=restaurant,ok,2026-08-10 04:08:54
gangnam__49__crop_001,gangnam,PARIS BAGUETTE,shop=bakery,ok,2026-08-10 04:09:00
gangnam__4__crop_001,gangnam,CASA JOVEN,amenity=bar,ok,2026-08-10 04:09:15
gangnam__50__crop_001,gangnam,coffeesmith,amenity=cafe,ok,2026-08-10 04:09:18
gangnam__51__crop_001,gangnam,GS25,shop=convenience,ok,2026-08-10 04:09:21
gangnam__52__crop_001,gangnam,MizMedi Hospital,amenity=clinic,ok,2026-08-10 04:09:26
gangnam__54__crop_001,gangnam,EM 학원,amenity=school,ok,2026-08-10 04:09:36
gangnam__54__crop_002,gangnam,ZUM 줌,leisure=fitness_centre,ok,2026-08-10 04:09:45
gangnam__55__crop_001,gangnam,대성,office=estate_agent,ok,2026-08-10 04:09:55
gangnam__55__crop_002,gangnam,ROYAL KITCHEN,amenity=restaurant,ok,2026-08-10 04:09:58
gangnam__55__crop_003,gangnam,로얄키친,amenity=restaurant,ok,2026-08-10 04:10:02
gangnam__56__crop_001,gangnam,홍어삼합 생선구이 생선조림 갈치조림,,non,2026-08-10 04:10:09
gangnam__56__crop_002,gangnam,믿음부동산,office=estate_agent,ok,2026-08-10 04:10:21
gangnam__57__crop_001,gangnam,삼성서점,shop=books,ok,2026-08-10 04:10:24
gangnam__57__crop_002,gangnam,솔로몬 공인중개사사무소,office=estate_agent,ok,2026-08-10 04:10:32
gangnam__58__crop_001,gangnam,VIP 노래방,amenity=karaoke_box,ok,2026-08-10 04:10:38
gangnam__58__crop_002,gangnam,정관장,shop=functional_food,ok,2026-08-10 04:12:37
gangnam__59__crop_001,gangnam,메디팜 나리약국,amenity=pharmacy,ok,2026-08-10 04:12:39
gangnam__59__crop_002,gangnam,VIP 노래방,amenity=karaoke_box,ok,2026-08-10 04:12:42
gangnam__59__crop_003,gangnam,정관장,shop=functional_food,ok,2026-08-10 04:12:53
gangnam__5__crop_001,gangnam,MOS BURGER,amenity=fast_food,ok,2026-08-10 04:12:56
gangnam__5__crop_003,gangnam,부대찌개,amenity=restaurant,ok,2026-08-10 04:12:58
gangnam__60__crop_001,gangnam,이수정국어 논술,amenity=school,ok,2026-08-10 04:13:04
gangnam__61__crop_001,gangnam,PAIK S COFFEE,amenity=cafe,ok,2026-08-10 04:13:06
gangnam__61__crop_002,gangnam,MINI STOP,shop=convenience,ok,2026-08-10 04:13:10
gangnam__62__crop_001,gangnam,MINISTOP,shop=convenience,ok,2026-08-10 04:13:14
gangnam__62__crop_002,gangnam,MINISTOP,shop=convenience,ok,2026-08-10 04:13:17
gangnam__63__crop_001,gangnam,MINISTOP,shop=convenience,ok,2026-08-10 04:13:21
gangnam__64__crop_001,gangnam,SUSHI BROS,amenity=restaurant,ok,2026-08-10 04:13:23
gangnam__64__crop_002,gangnam,MINI STOP,shop=convenience,ok,2026-08-10 04:13:26
gangnam__64__crop_003,gangnam,SIZAK STUDY CAFE,amenity=study_cafe,ok,2026-08-10 04:13:52
gangnam__65__crop_001,gangnam,빽다방,amenity=cafe,ok,2026-08-10 04:13:54
gangnam__66__crop_002,gangnam,으뜸 공인중개사,office=estate_agent,ok,2026-08-10 04:14:01
gangnam__67__crop_001,gangnam,한강 오토바이,shop=motorcycle,ok,2026-08-10 04:14:43
gangnam__67__crop_002,gangnam,천재 공인중개사,office=estate_agent,ok,2026-08-10 04:14:49
gangnam__68__crop_001,gangnam,by LYNN,shop=clothes,ok,2026-08-10 04:15:28
gangnam__69__crop_001,gangnam,미래향,amenity=restaurant,ok,2026-08-10 04:15:33
gangnam__6__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,ok,2026-08-10 04:15:35
gangnam__70__crop_001,gangnam,병천순대,amenity=restaurant,ok,2026-08-10 04:15:38
gangnam__70__crop_002,gangnam,라라감자탕,amenity=restaurant,ok,2026-08-10 04:15:41
gangnam__70__crop_003,gangnam,민속주점,amenity=bar,ok,2026-08-10 04:15:48
gangnam__71__crop_001,gangnam,금초한의원,amenity=clinic,ok,2026-08-10 04:15:51
gangnam__71__crop_002,gangnam,맥주창고,amenity=bar,ok,2026-08-10 04:15:55
gangnam__71__crop_003,gangnam,박지향 Book Cafe,amenity=book_cafe,ok,2026-08-10 04:16:10
gangnam__71__crop_004,gangnam,강남김밥,amenity=restaurant,ok,2026-08-10 04:16:12
gangnam__72__crop_001,gangnam,CU,shop=convenience,ok,2026-08-10 04:16:14
gangnam__73__crop_001,gangnam,정재용헤어,shop=hairdresser,ok,2026-08-10 04:16:15
gangnam__73__crop_002,gangnam,by JUNG JAE YONG,shop=hairdresser,ok,2026-08-10 04:16:16
gangnam__74__crop_001,gangnam,밥타임,amenity=restaurant,ok,2026-08-10 04:16:22
gangnam__74__crop_002,gangnam,MARIAN,shop=bakery,ok,2026-08-10 04:16:48
gangnam__75__crop_001,gangnam,함 박 웃 음,amenity=restaurant,ok,2026-08-10 04:16:51
gangnam__76__crop_001,gangnam,유니에셋,office=estate_agent,ok,2026-08-10 04:16:59
gangnam__76__crop_002,gangnam,유니에셋,office=estate_agent,ok,2026-08-10 04:17:05
gangnam__77__crop_001,gangnam,대치래미안,office=estate_agent,ok,2026-08-10 04:17:10
gangnam__77__crop_002,gangnam,영광,office=estate_agent,ok,2026-08-10 04:17:14
gangnam__78__crop_001,gangnam,영광,office=estate_agent,ok,2026-08-10 04:17:17
gangnam__78__crop_002,gangnam,리빙인테리어,shop=furniture,ok,2026-08-10 04:17:19
gangnam__79__crop_001,gangnam,GS25,shop=convenience,ok,2026-08-10 04:17:20
gangnam__79__crop_002,gangnam,시래기국 깡장보리밥,amenity=restaurant,ok,2026-08-10 04:17:24
gangnam__7__crop_001,gangnam,Pomato,amenity=restaurant,ok,2026-08-10 04:17:27
gangnam__7__crop_002,gangnam,딸부자네 불백,amenity=restaurant,ok,2026-08-10 04:17:33
gangnam__7__crop_003,gangnam,7 ELEVEN,shop=convenience,ok,2026-08-10 04:17:38
gangnam__80__crop_001,gangnam,GS25,shop=convenience,ok,2026-08-10 04:17:39
gangnam__81__crop_001,gangnam,GS25,shop=convenience,ok,2026-08-10 04:17:41
gangnam__81__crop_002,gangnam,시래기국 깡장보리밥,amenity=restaurant,ok,2026-08-10 04:17:42
gangnam__82__crop_001,gangnam,김영희 동태찜 코다리냉면,amenity=restaurant,ok,2026-08-10 04:17:44
gangnam__83__crop_001,gangnam,김영희 동태찜 코다리냉면,amenity=restaurant,ok,2026-08-10 04:17:45
gangnam__84__crop_001,gangnam,상품권닷컴,office=company,ok,2026-08-10 04:18:09
gangnam__84__crop_002,gangnam,Pasta Dough,amenity=restaurant,ok,2026-08-10 04:18:11
gangnam__85__crop_001,gangnam,상품권닷컴,office=company,ok,2026-08-10 04:18:15
gangnam__85__crop_002,gangnam,Pasta Dough,amenity=restaurant,ok,2026-08-10 04:18:17
gangnam__85__crop_003,gangnam,카츠젠,amenity=restaurant,ok,2026-08-10 04:18:20
gangnam__86__crop_001,gangnam,부대찌개,amenity=restaurant,ok,2026-08-10 04:18:21
gangnam__86__crop_002,gangnam,카츠젠,amenity=restaurant,ok,2026-08-10 04:18:23
gangnam__86__crop_003,gangnam,상품권닷컴,office=company,ok,2026-08-10 04:18:26
gangnam__87__crop_001,gangnam,엠엑스,shop=beauty,ok,2026-08-10 04:18:30
gangnam__87__crop_002,gangnam,BROZ PUB,amenity=bar,ok,2026-08-10 04:18:39
gangnam__88__crop_001,gangnam,창포,amenity=restaurant,ok,2026-08-10 04:18:43
gangnam__89__crop_001,gangnam,Nice to CU,shop=convenience,ok,2026-08-10 04:18:43
gangnam__8__crop_002,gangnam,7 ELEVEN,shop=convenience,ok,2026-08-10 04:18:51
gangnam__8__crop_003,gangnam,THE FOOT SHOP,shop=beauty,ok,2026-08-10 04:18:59
gangnam__90__crop_001,gangnam,Nice to CU,shop=convenience,ok,2026-08-10 04:19:00
gangnam__90__crop_002,gangnam,필리아 약국,amenity=pharmacy,ok,2026-08-10 04:19:02
gangnam__91__crop_001,gangnam,Nice to CU,shop=convenience,ok,2026-08-10 04:19:05
gangnam__92__crop_001,gangnam,I Nail,shop=beauty,ok,2026-08-10 04:19:08
gangnam__94__crop_001,gangnam,CAFFE PIE,amenity=cafe,ok,2026-08-10 04:19:16
gangnam__94__crop_001,gangnam,CAFFE PIE,amenity=cafe,ok,2026-08-10 04:19:32
gangnam__95__crop_001,gangnam,헤어명가,shop=hairdresser,ok,2026-08-10 04:20:41
gangnam__96__crop_001,gangnam,스터디카페 24시,amenity=study_cafe,ok,2026-08-10 04:20:54
gangnam__98__crop_001,gangnam,KOREA POST,amenity=post_office,ok,2026-08-10 04:21:01
gangnam__99__crop_001,gangnam,워너비,amenity=school,ok,2026-08-10 04:21:22
gangnam__9__crop_001,gangnam,초 만 원,amenity=restaurant,ok,2026-08-10 04:21:25
suwon__100__crop_001,suwon,전주 콩나물국밥,amenity=restaurant,ok,2026-08-10 04:21:35
suwon__10__crop_001,suwon,7 ELEVEN,shop=convenience,ok,2026-08-10 04:21:39
suwon__10__crop_002,suwon,Bur3wa,,name_only,2026-08-10 04:22:21
suwon__10__crop_003,suwon,ZOO COFFEE,amenity=cafe,ok,2026-08-10 04:22:29
suwon__11__crop_001,suwon,천사네일,shop=beauty,ok,2026-08-10 04:22:30
suwon__12__crop_001,suwon,JS 미용재료,shop=hairdresser,ok,2026-08-10 04:22:36
suwon__13__crop_001,suwon,Chou,shop=bakery,ok,2026-08-10 04:22:54
suwon__13__crop_002,suwon,뼈나라 감자탕,amenity=restaurant,ok,2026-08-10 04:22:56
suwon__14__crop_001,suwon,에이스 PC,office=PC_room,ok,2026-08-10 04:32:15
suwon__15__crop_001,suwon,커리어 헤어 디자인,shop=hairdresser,ok,2026-08-10 04:32:17
suwon__16__crop_001,suwon,골드문주차장,amenity=parking,ok,2026-08-10 04:32:18
suwon__17__crop_001,suwon,포장마차,amenity=bar,ok,2026-08-10 04:32:23
suwon__18__crop_001,suwon,삼정세탁,shop=laundry,ok,2026-08-10 04:32:25
suwon__19__crop_001,suwon,이지비아,shop=clothes,ok,2026-08-10 04:32:30
suwon__1__crop_001,suwon,baskin robbins,amenity=ice_cream,ok,2026-08-10 04:32:38
suwon__1__crop_002,suwon,SUNS BURGER,shop=florist,ok,2026-08-10 04:32:46
suwon__20__crop_001,suwon,권약국,amenity=pharmacy,ok,2026-08-10 04:32:48
suwon__20__crop_002,suwon,권약국,amenity=pharmacy,ok,2026-08-10 04:32:50
suwon__21__crop_001,suwon,태평갈매기,amenity=restaurant,ok,2026-08-10 04:32:54
suwon__22__crop_001,suwon,천사강아지,shop=animal_market,ok,2026-08-10 04:33:23
suwon__23__crop_001,suwon,백학다방,amenity=cafe,ok,2026-08-10 04:35:15
suwon__24__crop_001,suwon,예일음악사,,non,2026-08-10 04:35:24
suwon__25__crop_001,suwon,로맨틱 커피숍,amenity=cafe,ok,2026-08-10 04:35:26
suwon__25__crop_002,suwon,모범약국,amenity=pharmacy,ok,2026-08-10 04:35:28
suwon__26__crop_001,suwon,조이모텔,tourism=hotel,ok,2026-08-10 04:35:30
suwon__27__crop_001,suwon,한일통닭,amenity=fast_food,ok,2026-08-10 04:35:32
suwon__28__crop_001,suwon,설미순대국,amenity=restaurant,ok,2026-08-10 04:35:34
suwon__29__crop_001,suwon,MALU HOTEL,tourism=hotel,ok,2026-08-10 04:35:35
suwon__2__crop_002,suwon,T WORLD,shop=mobile_phone,ok,2026-08-10 04:35:38
suwon__2__crop_003,suwon,T WORLD,shop=mobile_phone,ok,2026-08-10 04:35:41
suwon__2__crop_004,suwon,LaLa COIN,amenity=karaoke,ok,2026-08-10 04:36:04
suwon__30__crop_001,suwon,MALU HOTEL,tourism=hotel,ok,2026-08-10 04:36:06
suwon__31__crop_001,suwon,두부해물마을,amenity=restaurant,ok,2026-08-10 04:36:09
suwon__32__crop_001,suwon,신바람돼지주물럭,amenity=restaurant,ok,2026-08-10 04:36:12
suwon__33__crop_001,suwon,하우주 스즈키 수원대리점,shop=car_repair,ok,2026-08-10 04:36:17
suwon__34__crop_001,suwon,쪽갈비전문점,amenity=restaurant,ok,2026-08-10 04:36:19
suwon__34__crop_001,suwon,쪽갈비전문점 예감,amenity=restaurant,ok,2026-08-10 04:36:24
suwon__35__crop_001,suwon,용인 전통 순대국,amenity=restaurant,ok,2026-08-10 04:36:32
suwon__36__crop_001,suwon,대구반야월막창,amenity=restaurant,ok,2026-08-10 04:36:34
suwon__36__crop_002,suwon,지하철,amenity=bar,ok,2026-08-10 04:36:52
suwon__36__crop_003,suwon,색다른HAIR,shop=hairdresser,ok,2026-08-10 04:37:15
suwon__37__crop_001,suwon,미가락,amenity=restaurant,ok,2026-08-10 04:37:23
suwon__37__crop_002,suwon,육회한 남자,amenity=restaurant,ok,2026-08-10 04:37:26
suwon__39__crop_001,suwon,7형제 감자탕,amenity=restaurant,ok,2026-08-10 04:37:27
suwon__3__crop_001,suwon,돼랑,amenity=restaurant,ok,2026-08-10 04:37:30
suwon__40__crop_001,suwon,BOBOS,amenity=bar,ok,2026-08-10 04:37:32
suwon__40__crop_002,suwon,참한고기,amenity=restaurant,ok,2026-08-10 04:37:35
suwon__41__crop_001,suwon,한라돈,amenity=restaurant,ok,2026-08-10 04:37:38
suwon__42__crop_001,suwon,BAR \BOBOS,amenity=bar,ok,2026-08-10 04:37:51
suwon__42__crop_002,suwon,두리아족보쌈,amenity=restaurant,ok,2026-08-10 04:37:53
suwon__42__crop_003,suwon,아리랑,amenity=restaurant,ok,2026-08-10 04:37:59
suwon__43__crop_001,suwon,통큰해물,amenity=restaurant,ok,2026-08-10 04:38:01
suwon__43__crop_002,suwon,미소갈비,amenity=restaurant,ok,2026-08-10 04:38:03
suwon__44__crop_001,suwon,세렌디피티,amenity=cafe,ok,2026-08-10 04:38:15
suwon__45__crop_001,suwon,여왕통골뱅이,amenity=restaurant,ok,2026-08-10 04:38:17
suwon__45__crop_002,suwon,부부식당,amenity=restaurant,ok,2026-08-10 04:38:22
suwon__46__crop_001,suwon,김밥친구,amenity=restaurant,ok,2026-08-10 04:38:25
suwon__46__crop_002,suwon,Day Hair,shop=hairdresser,ok,2026-08-10 04:38:28
suwon__47__crop_001,suwon,불날개닭발,amenity=fast_food,ok,2026-08-10 04:38:32
suwon__47__crop_001,suwon,불날개닭발,amenity=restaurant,ok,2026-08-10 04:38:37
suwon__47__crop_002,suwon,굿모닝,office=estate_agent,ok,2026-08-10 04:38:43
suwon__48__crop_001,suwon,황소고집,amenity=restaurant,ok,2026-08-10 04:38:47
suwon__48__crop_002,suwon,불날개닭발,amenity=restaurant,ok,2026-08-10 04:38:50
suwon__49__crop_001,suwon,세진상사,shop=hardware,ok,2026-08-10 04:39:44
suwon__4__crop_001,suwon,동태탕,,non,2026-08-10 04:39:51
suwon__4__crop_002,suwon,밥 해주는 남자,amenity=restaurant,ok,2026-08-10 04:39:58
suwon__50__crop_001,suwon,조순헤어샵,shop=hairdresser,ok,2026-08-10 04:40:03
suwon__50__crop_002,suwon,지지비네일,shop=beauty,ok,2026-08-10 04:40:08
suwon__50__crop_002,suwon,지지비네일,shop=beauty,ok,2026-08-10 04:40:13
suwon__50__crop_002,suwon,지지베네일,shop=beauty,ok,2026-08-10 04:40:22
suwon__51__crop_001,suwon,비젼,office=estate_agent,ok,2026-08-10 04:40:26
suwon__52__crop_001,suwon,모나리자,shop=hairdresser,ok,2026-08-10 04:40:30
suwon__53__crop_001,suwon,SooChon,amenity=restaurant,ok,2026-08-10 04:40:32
suwon__54__crop_001,suwon,북촌손만두,amenity=restaurant,ok,2026-08-10 04:40:34
suwon__55__crop_001,suwon,엽기떡볶이,amenity=fast_food,ok,2026-08-10 04:40:36
suwon__56__crop_001,suwon,삼아 주단 이불,,non,2026-08-10 04:40:46
suwon__58__crop_001,suwon,BYC,shop=clothes,ok,2026-08-10 04:41:02
suwon__58__crop_002,suwon,한솥,amenity=restaurant,ok,2026-08-10 05:03:53
suwon__59__crop_001,suwon,전주콩나루,amenity=restaurant,ok,2026-08-10 05:03:55
suwon__59__crop_002,suwon,황금의 집,shop=jewelry_store,ok,2026-08-10 05:04:36
suwon__59__crop_003,suwon,남성컷,shop=hairdresser,ok,2026-08-10 05:04:42
suwon__5__crop_001,suwon,진미치킨,amenity=fast_food,ok,2026-08-10 05:04:48
suwon__5__crop_002,suwon,역전 진미 치킨,amenity=fast_food,ok,2026-08-10 05:04:50
suwon__60__crop_001,suwon,한빛약국,amenity=pharmacy,ok,2026-08-10 05:04:52
suwon__61__crop_001,suwon,전주콩나루,amenity=restaurant,ok,2026-08-10 05:04:56
suwon__61__crop_002,suwon,전주콩나루 콩나물국밥,amenity=restaurant,ok,2026-08-10 05:04:59
suwon__62__crop_001,suwon,권약국,amenity=pharmacy,ok,2026-08-10 05:05:01
suwon__62__crop_002,suwon,권약국,amenity=pharmacy,ok,2026-08-10 05:05:03
suwon__63__crop_001,suwon,산 이 내 린 밥 상 곤드레밥집,amenity=restaurant,ok,2026-08-10 05:05:13
suwon__64__crop_001,suwon,곤드레밥집,amenity=restaurant,ok,2026-08-10 05:05:15
suwon__65__crop_001,suwon,대우 마이홈,office=estate_agent,ok,2026-08-10 05:05:27
suwon__65__crop_002,suwon,콩미가 손두부,amenity=restaurant,ok,2026-08-10 05:07:19
suwon__65__crop_003,suwon,VALE,,name_only,2026-08-10 05:07:40
suwon__66__crop_001,suwon,대우 마이홈,office=estate_agent,ok,2026-08-10 05:07:47
suwon__66__crop_002,suwon,VALENTI,shop=clothes,ok,2026-08-10 05:12:02
suwon__67__crop_001,suwon,어부돈가,amenity=restaurant,ok,2026-08-10 05:12:05
suwon__68__crop_001,suwon,VALENTI,shop=clothes,ok,2026-08-10 05:12:09
suwon__69__crop_001,suwon,신성 자동차 정비,shop=car_repair,ok,2026-08-10 05:12:14
suwon__70__crop_001,suwon,신성공업사,shop=car_repair,ok,2026-08-10 05:12:36
suwon__70__crop_002,suwon,신성,shop=car_repair,ok,2026-08-10 05:12:39
suwon__71__crop_001,suwon,참숯구이,amenity=restaurant,ok,2026-08-10 05:12:43
suwon__72__crop_001,suwon,골목집,amenity=restaurant,ok,2026-08-10 05:12:46
suwon__73__crop_001,suwon,해장국 수육,amenity=restaurant,ok,2026-08-10 05:12:49
suwon__73__crop_002,suwon,유치회관,amenity=restaurant,ok,2026-08-10 05:12:55
suwon__74__crop_001,suwon,4900냥 순대국,amenity=restaurant,ok,2026-08-10 05:12:59
suwon__75__crop_001,suwon,교육그룹 정진,amenity=school,ok,2026-08-10 05:13:06
suwon__76__crop_001,suwon,24시 정통마사지,shop=beauty,ok,2026-08-10 05:13:10
suwon__76__crop_002,suwon,럭셔리 노래팡팡,amenity=karaoke,ok,2026-08-10 05:13:26
suwon__77__crop_001,suwon,스타일 MOTEL,tourism=hotel,ok,2026-08-10 05:13:33
suwon__77__crop_002,suwon,스타일,tourism=hotel,ok,2026-08-10 05:13:36
suwon__78__crop_001,suwon,모텔 스타일주차장,tourism=hotel,ok,2026-08-10 05:13:40
suwon__79__crop_001,suwon,소원식당,amenity=restaurant,ok,2026-08-10 05:13:44
suwon__7__crop_001,suwon,sharalla Brush,shop=clothes,ok,2026-08-10 05:14:14
suwon__81__crop_001,suwon,시골집,amenity=restaurant,ok,2026-08-10 05:14:17
suwon__82__crop_001,suwon,시골집,amenity=restaurant,ok,2026-08-10 05:14:20
suwon__83__crop_001,suwon,시온성,amenity=restaurant,ok,2026-08-10 05:14:23
suwon__83__crop_002,suwon,짱 PC방,amenity=internet_cafe,ok,2026-08-10 05:14:31
suwon__84__crop_001,suwon,수입 엔틱 가구,shop=furniture,ok,2026-08-10 05:14:37
suwon__85__crop_001,suwon,대게 킹크랩 랍스터,amenity=restaurant,ok,2026-08-10 05:14:40
suwon__86__crop_001,suwon,수입 엔틱 가구,shop=furniture,ok,2026-08-10 05:14:42
suwon__86__crop_001,suwon,수입 엔틱 가구,shop=furniture,ok,2026-08-10 05:14:48
suwon__86__crop_002,suwon,VERONA,amenity=cafe,ok,2026-08-10 05:15:05
suwon__86__crop_002,suwon,VERONA,shop=furniture,ok,2026-08-10 05:15:12
suwon__87__crop_001,suwon,HOTEL ILMARE,tourism=hotel,ok,2026-08-10 05:15:14
suwon__89__crop_001,suwon,유료주차장,amenity=parking,ok,2026-08-10 05:15:17
suwon__8__crop_001,suwon,경훈약국,amenity=pharmacy,ok,2026-08-10 05:15:19
suwon__90__crop_001,suwon,Garma Hair,shop=hairdresser,ok,2026-08-10 05:15:21
suwon__91__crop_001,suwon,부안 바지락촌,amenity=restaurant,ok,2026-08-10 05:15:24
suwon__92__crop_001,suwon,신촌옥 설렁탕 해장국,amenity=restaurant,ok,2026-08-10 05:15:27
suwon__93__crop_002,suwon,PREMIUM MULTI SHOP,shop=clothes,ok,2026-08-10 05:15:38
suwon__94__crop_001,suwon,라미 웨딩쥬얼리,shop=beauty,ok,2026-08-10 05:15:44
suwon__96__crop_001,suwon,르노삼성자동차 인계점,shop=car_repair,ok,2026-08-10 05:15:46
suwon__97__crop_001,suwon,어구미,amenity=restaurant,ok,2026-08-10 05:16:00
suwon__98__crop_001,suwon,어구미,amenity=restaurant,ok,2026-08-10 05:16:02
suwon__99__crop_001,suwon,RESTAURANT,amenity=restaurant,ok,2026-08-10 05:16:04
suwon__9__crop_001,suwon,ISaac,amenity=fast_food,ok,2026-08-10 05:16:07
brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,ok,2026-08-10 05:16:51
brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,ok,2026-08-10 05:17:27
brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,ok,2026-08-10 05:17:53
brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,ok,2026-08-10 05:17:57
