image_name,region,name,tag,verdict,eval_name,eval_tag
brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,ok,1,1
brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,ok,1,1
brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,ok,1,1
brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,ok,1,1
brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,ok,1,1
brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,ok,1,1
brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,ok,1,1
brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,ok,1,1
brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,ok,1,1
brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,ok,1,1
brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,ok,1,1
brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,ok,1,1
brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,ok,1,1
brooklyn__37__crop_002,brooklyn,GRILL DELI,shop=convenience,ok,1,1
brooklyn__38__crop_001,brooklyn,95 South,amenity=restaurant,ok,1,1
brooklyn__38__crop_002,brooklyn,PHARMACY,amenity=pharmacy,ok,1,1
brooklyn__38__crop_003,brooklyn,95 South,amenity=restaurant,ok,1,1
brooklyn__38__crop_004,brooklyn,PHARMACY,amenity=pharmacy,ok,1,1
brooklyn__3__crop_001,brooklyn,LAUNDROMAT,amenity=laundry,ok,1,1
brooklyn__40__crop_001,brooklyn,SHEER MADNESS,shop=hairdresser,ok,1,1
brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,ok,1,1
brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,ok,1,1
brooklyn__44__crop_001,brooklyn,SJ MARKET,shop=supermarket,ok,1,1
brooklyn__45__crop_001,brooklyn,HAPPY WOK,amenity=restaurant,ok,1,1
brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,ok,1,1
brooklyn__47__crop_002,brooklyn,MISC,amenity=restaurant,ok,1,1
brooklyn__48__crop_001,brooklyn,RESTAURANT,amenity=restaurant,ok,1,1
brooklyn__48__crop_002,brooklyn,DELI GROCERY,shop=convenience,ok,1,1
brooklyn__49__crop_001,brooklyn,enterprise,amenity=rent_car,ok,1,1
brooklyn__49__crop_002,brooklyn,enterprise,amenity=rent_car,ok,1,1
brooklyn__4__crop_001,brooklyn,SuperMarket,shop=supermarket,ok,1,1
brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,ok,1,1
brooklyn__51__crop_001,brooklyn,enterprise,amenity=rent_car,ok,1,1
brooklyn__52__crop_001,brooklyn,StateFarm,office=company,ok,1,1
brooklyn__54__crop_001,brooklyn,R FERRARO COLLISION,shop=car_repair,ok,1,1
brooklyn__54__crop_002,brooklyn,CAROUSEL BEVERAGES,amenity=bar,ok,1,1
brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,ok,1,1
brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,ok,1,1
brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,ok,1,1
brooklyn__58__crop_001,brooklyn,Powerplay,leisure=fitness_centre,ok,1,1
brooklyn__59__crop_001,brooklyn,NEW MILLENNIUM MOTORS INC,shop=car_repair,ok,1,1
brooklyn__5__crop_001,brooklyn,ROYAL BAKERY ROTI,shop=bakery,ok,1,1
brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewerly_shop,ok,1,1
brooklyn__60__crop_001,brooklyn,Powerplay,leisure=fitness_centre,ok,1,1
brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,ok,1,1
brooklyn__61__crop_001,brooklyn,DONATO,office=company,ok,1,1
brooklyn__61__crop_002,brooklyn,DONATO INC,office=company,ok,1,1
brooklyn__62__crop_001,brooklyn,DRUG STORE,amenity=pharmacy,ok,1,1
brooklyn__63__crop_001,brooklyn,FOOD CENTER,amenity=restaurant,ok,1,1
brooklyn__63__crop_002,brooklyn,GRANDMA LAUNDRY CORNER INC,shop=laundry,ok,1,1
brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,ok,1,1
brooklyn__65__crop_001,brooklyn,HARDEE,amenity=fast_food,ok,1,1
brooklyn__66__crop_001,brooklyn,DELI,shop=convenience,ok,1,1
brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,ok,1,1
brooklyn__68__crop_001,brooklyn,UNISEX SALON,shop=hairdresser,ok,1,1
brooklyn__68__crop_002,brooklyn,Franklin Eyecare,amenity=clinic,ok,1,1
brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,ok,1,1
brooklyn__69__crop_002,brooklyn,SMOK SHOP,shop=smoke_shop,ok,1,1
brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,ok,1,1
brooklyn__70__crop_001,brooklyn,JUICY KING CRAB,amenity=fast_food,ok,1,1
brooklyn__70__crop_002,brooklyn,JUICY KING CRAB,amenity=fast_food,ok,1,1
brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,ok,1,1
brooklyn__73__crop_001,brooklyn,POPEYES,amenity=fast_food,ok,1,1
brooklyn__73__crop_002,brooklyn,SuperFoodtown,shop=supermarket,ok,1,1
brooklyn__75__crop_001,brooklyn,NEXT LEVEL Fashions,shop=clothes,ok,1,1
brooklyn__75__crop_002,brooklyn,Modern Nails,shop=beauty,ok,1,1
brooklyn__76__crop_001,brooklyn,Modern Nails,shop=beauty,ok,1,1
brooklyn__77__crop_001,brooklyn,Modern Nails,shop=beauty,ok,1,1
brooklyn__77__crop_002,brooklyn,Mini Market,shop=supermarket,ok,1,1
brooklyn__78__crop_001,brooklyn,MNS 99 CENTS UP INC,shop=supermarket,ok,1,1
brooklyn__79__crop_001,brooklyn,HAIR STUDIO,shop=hairdresser,ok,1,1
brooklyn__80__crop_001,brooklyn,FULTON,amenity=bar,ok,1,1
brooklyn__80__crop_002,brooklyn,Soldier Restaurant Inc,amenity=restaurant,ok,1,1
brooklyn__80__crop_003,brooklyn,HAIR STUDIO,shop=hairdresser,ok,1,1
brooklyn__81__crop_001,brooklyn,BEAUTY SUPPLY,shop=beauty,ok,1,1
brooklyn__83__crop_001,brooklyn,FULTON,amenity=bar,ok,1,1
brooklyn__83__crop_002,brooklyn,A GUSTO,amenity=restaurant,ok,1,1
brooklyn__85__crop_002,brooklyn,LAUNDROMAT,amenity=laundry,ok,1,1
brooklyn__86__crop_002,brooklyn,Dominos,amenity=fast_food,ok,1,1
brooklyn__87__crop_001,brooklyn,DOG DAYCARE,amenity=animal_care,ok,1,1
brooklyn__88__crop_001,brooklyn,Blooming Brows,shop=beauty,ok,1,1
brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,ok,1,1
brooklyn__8__crop_001,brooklyn,NAILS,shop=beauty,ok,1,1
brooklyn__90__crop_001,brooklyn,AR POSTAL MULTISERVICES,amenity=post_office,ok,1,1
brooklyn__91__crop_001,brooklyn,SOGHO HAIR Salon BRAIDING,shop=hairdresser,ok,1,1
brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,ok,1,1
brooklyn__93__crop_001,brooklyn,BRAIDING STYLING,shop=hairdresser,ok,1,1
brooklyn__94__crop_001,brooklyn,RICKY S,amenity=restaurant,ok,1,1
brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,ok,1,1
brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,ok,1,1
brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,ok,1,1
brooklyn__95__crop_002,brooklyn,HARDWARE,shop=hardware,ok,1,1
brooklyn__96__crop_001,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,ok,1,1
brooklyn__97__crop_001,brooklyn,BEAUTY SUPPLY INC,shop=beauty,ok,1,1
brooklyn__97__crop_002,brooklyn,NAILS Inc,shop=beauty,ok,1,1
brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,ok,1,1
brooklyn__98__crop_001,brooklyn,BARGAINLAND,shop=supermarket,ok,1,1
brooklyn__98__crop_002,brooklyn,BEAUTY SUPPLY INC,shop=beauty,ok,1,1
brooklyn__98__crop_003,brooklyn,NAILS Inc,shop=beauty,ok,1,1
brooklyn__99__crop_002,brooklyn,eyes nyc,shop=optical_shop,ok,1,1
brooklyn__9__crop_001,brooklyn,JOHN GARDEN,amenity=restaurant,ok,1,1
gangnam__100__crop_001,gangnam,Chicken,amenity=fast_food,ok,1,1
gangnam__10__crop_001,gangnam,HOTEL,tourism=hotel,ok,1,1
gangnam__10__crop_002,gangnam,Saboten,amenity=restaurant,ok,1,1
gangnam__11__crop_001,gangnam,LOTTERIA,amenity=fast_food,ok,1,1
gangnam__11__crop_002,gangnam,짚동가리쌩주,amenity=bar,ok,1,1
gangnam__12__crop_001,gangnam,럭셔리브라더스,office=company,ok,1,1
gangnam__12__crop_002,gangnam,신오약국,amenity=pharmacy,ok,1,1
gangnam__13__crop_001,gangnam,The Coffee Bean,amenity=cafe,ok,1,1
gangnam__17__crop_001,gangnam,MLB,shop=clothes,ok,1,1
gangnam__17__crop_002,gangnam,espoir,shop=beauty,ok,1,1
gangnam__18__crop_001,gangnam,MLB,shop=clothes,ok,1,1
gangnam__18__crop_002,gangnam,우리은행 강남역지점,amenity=bank,ok,1,1
gangnam__19__crop_001,gangnam,파파스레시피 2F,amenity=restaurant,ok,1,1
gangnam__1__crop_001,gangnam,milk,amenity=karaoke,ok,1,1
gangnam__20__crop_001,gangnam,THE PLACE ITALIAN URBAN BISTRO,amenity=restaurant,ok,1,1
gangnam__21__crop_001,gangnam,baskin BR robbins,amenity=ice_cream,ok,1,1
gangnam__22__crop_001,gangnam,혜화 돌쇠 아저씨,amenity=restaurant,ok,1,1
gangnam__23__crop_001,gangnam,문교동낙지,amenity=restaurant,ok,1,1
gangnam__24__crop_001,gangnam,SUBWAY,amenity=fast_food,ok,1,1
gangnam__25__crop_001,gangnam,GOLD,unknown,name_only,1,0
gangnam__27__crop_001,gangnam,CU,shop=convenience,ok,1,1
gangnam__28__crop_001,gangnam,THE CAFE 8 6 8,amenity=cafe,ok,1,1
gangnam__29__crop_001,gangnam,라이브 유흥주점,amenity=bar,ok,1,1
gangnam__2__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,ok,1,1
gangnam__30__crop_001,gangnam,Emoi,amenity=restaurant,ok,1,1
gangnam__31__crop_001,gangnam,정통중국요리,amenity=restaurant,ok,1,1
gangnam__32__crop_001,gangnam,IZAKAYA TAN,amenity=bar,ok,1,1
gangnam__33__crop_001,gangnam,DUNKIN,shop=bakery,ok,1,1
gangnam__34__crop_001,gangnam,MINI STOP,shop=convenience,ok,1,1
gangnam__35__crop_001,gangnam,olleh O,shop=mobile_phone,ok,1,1
gangnam__35__crop_002,gangnam,효성해링턴타워,office=building,ok,1,1
gangnam__35__crop_004,gangnam,olleh O,shop=mobile_phone,ok,1,1
gangnam__35__crop_006,gangnam,효성해링턴타워,office=building,ok,1,1
gangnam__37__crop_001,gangnam,eye scream,shop=optician,ok,1,1
gangnam__38__crop_001,gangnam,CANDLE SOAP,amenity=cafe,ok,1,1
gangnam__39__crop_001,gangnam,쭈꾸미불낙,amenity=restaurant,ok,1,1
gangnam__3__crop_001,gangnam,Yomenya Goemon Japanese Spaghetti,amenity=restaurant,ok,1,1
gangnam__40__crop_001,gangnam,로빈힐,amenity=bar,ok,1,1
gangnam__41__crop_001,gangnam,모닝글로리,shop=stationery_store,ok,1,1
gangnam__42__crop_001,gangnam,흑마늘족발 보쌈 순대국,amenity=restaurant,ok,1,1
gangnam__43__crop_001,gangnam,7 ELEVEN,shop=convenience,ok,1,1
gangnam__44__crop_001,gangnam,7 ELEVEN,shop=convenience,ok,1,1
gangnam__44__crop_002,gangnam,영 동 껍데기,amenity=restaurant,ok,1,1
gangnam__45__crop_001,gangnam,영동 껍데기 소금구이,amenity=restaurant,ok,1,1
gangnam__46__crop_001,gangnam,통돼지찌개집,amenity=restaurant,ok,1,1
gangnam__47__crop_001,gangnam,나주,amenity=restaurant,ok,1,1
gangnam__48__crop_001,gangnam,FOOD,amenity=restaurant,ok,1,1
gangnam__49__crop_001,gangnam,PARIS BAGUETTE,shop=bakery,ok,1,1
gangnam__4__crop_001,gangnam,CASA JOVEN,amenity=bar,ok,1,1
gangnam__50__crop_001,gangnam,coffeesmith,amenity=cafe,ok,1,1
gangnam__51__crop_001,gangnam,GS25,shop=convenience,ok,1,1
gangnam__52__crop_001,gangnam,MizMedi Hospital,amenity=clinic,ok,1,1
gangnam__54__crop_001,gangnam,EM 학원,amenity=school,ok,1,1
gangnam__54__crop_002,gangnam,ZUM 줌,leisure=fitness_centre,ok,1,1
gangnam__55__crop_001,gangnam,대성,office=estate_agent,ok,1,1
gangnam__55__crop_002,gangnam,ROYAL KITCHEN,amenity=restaurant,ok,1,1
gangnam__55__crop_003,gangnam,로얄키친,amenity=restaurant,ok,1,1
gangnam__56__crop_002,gangnam,믿음부동산,office=estate_agent,ok,1,1
gangnam__57__crop_001,gangnam,삼성서점,shop=books,ok,1,1
gangnam__57__crop_002,gangnam,솔로몬 공인중개사사무소,office=estate_agent,ok,1,1
gangnam__58__crop_001,gangnam,VIP 노래방,amenity=karaoke_box,ok,1,1
gangnam__58__crop_002,gangnam,정관장,shop=functional_food,ok,1,1
gangnam__59__crop_001,gangnam,메디팜 나리약국,amenity=pharmacy,ok,1,1
gangnam__59__crop_002,gangnam,VIP 노래방,amenity=karaoke_box,ok,1,1
gangnam__59__crop_003,gangnam,정관장,shop=functional_food,ok,1,1
gangnam__5__crop_001,gangnam,MOS BURGER,amenity=fast_food,ok,1,1
gangnam__5__crop_003,gangnam,부대찌개,amenity=restaurant,ok,1,1
gangnam__60__crop_001,gangnam,이수정국어 논술,amenity=school,ok,1,1
gangnam__61__crop_001,gangnam,PAIK S COFFEE,amenity=cafe,ok,1,1
gangnam__61__crop_002,gangnam,MINI STOP,shop=convenience,ok,1,1
gangnam__62__crop_001,gangnam,MINISTOP,shop=convenience,ok,1,1
gangnam__62__crop_002,gangnam,MINISTOP,shop=convenience,ok,1,1
gangnam__63__crop_001,gangnam,MINISTOP,shop=convenience,ok,1,1
gangnam__64__crop_001,gangnam,SUSHI BROS,amenity=restaurant,ok,1,1
gangnam__64__crop_002,gangnam,MINI STOP,shop=convenience,ok,1,1
gangnam__64__crop_003,gangnam,SIZAK STUDY CAFE,amenity=study_cafe,ok,1,1
gangnam__65__crop_001,gangnam,빽다방,amenity=cafe,ok,1,1
gangnam__66__crop_002,gangnam,으뜸 공인중개사,office=estate_agent,ok,1,1
gangnam__67__crop_001,gangnam,한강 오토바이,shop=motorcycle,ok,1,1
gangnam__67__crop_002,gangnam,천재 공인중개사,office=estate_agent,ok,1,1
gangnam__68__crop_001,gangnam,by LYNN,shop=clothes,ok,1,1
gangnam__69__crop_001,gangnam,미래향,amenity=restaurant,ok,1,1
gangnam__6__crop_001,gangnam,HERRY S COFFEE,amenity=cafe,ok,1,1
gangnam__70__crop_001,gangnam,병천순대,amenity=restaurant,ok,1,1
gangnam__70__crop_002,gangnam,라라감자탕,amenity=restaurant,ok,1,1
gangnam__70__crop_003,gangnam,민속주점,amenity=bar,ok,1,1
gangnam__71__crop_001,gangnam,금초한의원,amenity=clinic,ok,1,1
gangnam__71__crop_002,gangnam,맥주창고,amenity=bar,ok,1,1
gangnam__71__crop_003,gangnam,박지향 Book Cafe,amenity=book_cafe,ok,1,1
gangnam__71__crop_004,gangnam,강남김밥,amenity=restaurant,ok,1,1
gangnam__72__crop_001,gangnam,CU,shop=convenience,ok,1,1
gangnam__73__crop_001,gangnam,정재용헤어,shop=hairdresser,ok,1,1
gangnam__73__crop_002,gangnam,by JUNG JAE YONG,shop=hairdresser,ok,1,1
gangnam__74__crop_001,gangnam,밥타임,amenity=restaurant,ok,1,1
gangnam__74__crop_002,gangnam,MARIAN,shop=bakery,ok,1,1
gangnam__75__crop_001,gangnam,함 박 웃 음,amenity=restaurant,ok,1,1
gangnam__76__crop_001,gangnam,유니에셋,office=estate_agent,ok,1,1
gangnam__76__crop_002,gangnam,유니에셋,office=estate_agent,ok,1,1
gangnam__77__crop_001,gangnam,대치래미안,office=estate_agent,ok,1,1
gangnam__77__crop_002,gangnam,영광,office=estate_agent,ok,1,1
gangnam__78__crop_001,gangnam,영광,office=estate_agent,ok,1,1
gangnam__78__crop_002,gangnam,리빙인테리어,shop=furniture,ok,1,1
gangnam__79__crop_001,gangnam,GS25,shop=convenience,ok,1,1
gangnam__79__crop_002,gangnam,시래기국 깡장보리밥,amenity=restaurant,ok,1,1
gangnam__7__crop_001,gangnam,Pomato,amenity=restaurant,ok,1,1
gangnam__7__crop_002,gangnam,딸부자네 불백,amenity=restaurant,ok,1,1
gangnam__7__crop_003,gangnam,7 ELEVEN,shop=convenience,ok,1,1
gangnam__80__crop_001,gangnam,GS25,shop=convenience,ok,1,1
gangnam__81__crop_001,gangnam,GS25,shop=convenience,ok,1,1
gangnam__81__crop_002,gangnam,시래기국 깡장보리밥,amenity=restaurant,ok,1,1
gangnam__82__crop_001,gangnam,김영희 동태찜 코다리냉면,amenity=restaurant,ok,1,1
gangnam__83__crop_001,gangnam,김영희 동태찜 코다리냉면,amenity=restaurant,ok,1,1
gangnam__84__crop_001,gangnam,상품권닷컴,office=company,ok,1,1
gangnam__84__crop_002,gangnam,Pasta Dough,amenity=restaurant,ok,1,1
gangnam__85__crop_001,gangnam,상품권닷컴,office=company,ok,1,1
gangnam__85__crop_002,gangnam,Pasta Dough,amenity=restaurant,ok,1,1
gangnam__85__crop_003,gangnam,카츠젠,amenity=restaurant,ok,1,1
gangnam__86__crop_001,gangnam,부대찌개,amenity=restaurant,ok,1,1
gangnam__86__crop_002,gangnam,카츠젠,amenity=restaurant,ok,1,1
gangnam__86__crop_003,gangnam,상품권닷컴,office=company,ok,1,1
gangnam__87__crop_001,gangnam,엠엑스,shop=beauty,ok,1,1
gangnam__87__crop_002,gangnam,BROZ PUB,amenity=bar,ok,1,1
gangnam__88__crop_001,gangnam,창포,amenity=restaurant,ok,1,1
gangnam__89__crop_001,gangnam,Nice to CU,shop=convenience,ok,1,1
gangnam__8__crop_002,gangnam,7 ELEVEN,shop=convenience,ok,1,1
gangnam__8__crop_003,gangnam,THE FOOT SHOP,shop=beauty,ok,1,1
gangnam__90__crop_001,gangnam,Nice to CU,shop=convenience,ok,1,1
gangnam__90__crop_002,gangnam,필리아 약국,amenity=pharmacy,ok,1,1
gangnam__91__crop_001,gangnam,Nice to CU,shop=convenience,ok,1,1
gangnam__92__crop_001,gangnam,I Nail,shop=beauty,ok,1,1
gangnam__94__crop_001,gangnam,CAFFE PIE,amenity=cafe,ok,1,1
gangnam__95__crop_001,gangnam,헤어명가,shop=hairdresser,ok,1,1
gangnam__96__crop_001,gangnam,스터디카페 24시,amenity=study_cafe,ok,1,1
gangnam__97__crop_001,gangnam,7,shop=convenience,ok,1,1
gangnam__98__crop_001,gangnam,KOREA POST,amenity=post_office,ok,1,1
gangnam__99__crop_001,gangnam,워너비,amenity=school,ok,1,1
gangnam__9__crop_001,gangnam,초 만 원,amenity=restaurant,ok,1,1
suwon__100__crop_001,suwon,전주 콩나물국밥,amenity=restaurant,ok,1,1
suwon__10__crop_001,suwon,7 ELEVEN,shop=convenience,ok,1,1
suwon__10__crop_002,suwon,Bur3wa,unknown,name_only,1,0
suwon__10__crop_003,suwon,ZOO COFFEE,amenity=cafe,ok,1,1
suwon__11__crop_001,suwon,천사네일,shop=beauty,ok,1,1
suwon__12__crop_001,suwon,JS 미용재료,shop=hairdresser,ok,1,1
suwon__13__crop_001,suwon,Chou,shop=bakery,ok,1,1
suwon__13__crop_002,suwon,뼈나라 감자탕,amenity=restaurant,ok,1,1
suwon__14__crop_001,suwon,에이스 PC,office=PC_room,ok,1,1
suwon__15__crop_001,suwon,커리어 헤어 디자인,shop=hairdresser,ok,1,1
suwon__16__crop_001,suwon,골드문주차장,amenity=parking,ok,1,1
suwon__17__crop_001,suwon,포장마차,amenity=bar,ok,1,1
suwon__18__crop_001,suwon,삼정세탁,shop=laundry,ok,1,1
suwon__19__crop_001,suwon,이지비아,shop=clothes,ok,1,1
suwon__1__crop_001,suwon,baskin robbins,amenity=ice_cream,ok,1,1
suwon__1__crop_002,suwon,SUNS BURGER,shop=florist,ok,1,1
suwon__20__crop_001,suwon,권약국,amenity=pharmacy,ok,1,1
suwon__20__crop_002,suwon,권약국,amenity=pharmacy,ok,1,1
suwon__21__crop_001,suwon,태평갈매기,amenity=restaurant,ok,1,1
suwon__22__crop_001,suwon,천사강아지,shop=animal_market,ok,1,1
suwon__23__crop_001,suwon,백학다방,amenity=cafe,ok,1,1
suwon__25__crop_001,suwon,로맨틱 커피숍,amenity=cafe,ok,1,1
suwon__25__crop_002,suwon,모범약국,amenity=pharmacy,ok,1,1
suwon__26__crop_001,suwon,조이모텔,tourism=hotel,ok,1,1
suwon__27__crop_001,suwon,한일통닭,amenity=fast_food,ok,1,1
suwon__28__crop_001,suwon,설미순대국,amenity=restaurant,ok,1,1
suwon__29__crop_001,suwon,MALU HOTEL,tourism=hotel,ok,1,1
suwon__2__crop_002,suwon,T WORLD,shop=mobile_phone,ok,1,1
suwon__2__crop_003,suwon,T WORLD,shop=mobile_phone,ok,1,1
suwon__2__crop_004,suwon,LaLa COIN,amenity=karaoke,ok,1,1
suwon__30__crop_001,suwon,MALU HOTEL,tourism=hotel,ok,1,1
suwon__31__crop_001,suwon,두부해물마을,amenity=restaurant,ok,1,1
suwon__32__crop_001,suwon,신바람돼지주물럭,amenity=restaurant,ok,1,1
suwon__33__crop_001,suwon,하우주 스즈키 수원대리점,shop=car_repair,ok,1,1
suwon__34__crop_001,suwon,쪽갈비전문점 예감,amenity=restaurant,ok,1,1
suwon__35__crop_001,suwon,용인 전통 순대국,amenity=restaurant,ok,1,1
suwon__36__crop_001,suwon,대구반야월막창,amenity=restaurant,ok,1,1
suwon__36__crop_002,suwon,지하철,amenity=bar,ok,1,1
suwon__36__crop_003,suwon,색다른HAIR,shop=hairdresser,ok,1,1
suwon__37__crop_001,suwon,미가락,amenity=restaurant,ok,1,1
suwon__37__crop_002,suwon,육회한 남자,amenity=restaurant,ok,1,1
suwon__39__crop_001,suwon,7형제 감자탕,amenity=restaurant,ok,1,1
suwon__3__crop_001,suwon,돼랑,amenity=restaurant,ok,1,1
suwon__40__crop_001,suwon,BOBOS,amenity=bar,ok,1,1
suwon__40__crop_002,suwon,참한고기,amenity=restaurant,ok,1,1
suwon__41__crop_001,suwon,한라돈,amenity=restaurant,ok,1,1
suwon__42__crop_001,suwon,BAR \BOBOS,amenity=bar,ok,1,1
suwon__42__crop_002,suwon,두리아족보쌈,amenity=restaurant,ok,1,1
suwon__42__crop_003,suwon,아리랑,amenity=restaurant,ok,1,1
suwon__43__crop_001,suwon,통큰해물,amenity=restaurant,ok,1,1
suwon__43__crop_002,suwon,미소갈비,amenity=restaurant,ok,1,1
suwon__44__crop_001,suwon,세렌디피티,amenity=cafe,ok,1,1
suwon__45__crop_001,suwon,여왕통골뱅이,amenity=restaurant,ok,1,1
suwon__45__crop_002,suwon,부부식당,amenity=restaurant,ok,1,1
suwon__46__crop_001,suwon,김밥친구,amenity=restaurant,ok,1,1
suwon__46__crop_002,suwon,Day Hair,shop=hairdresser,ok,1,1
suwon__47__crop_001,suwon,불날개닭발,amenity=restaurant,ok,1,1
suwon__47__crop_002,suwon,굿모닝,office=estate_agent,ok,1,1
suwon__48__crop_001,suwon,황소고집,amenity=restaurant,ok,1,1
suwon__48__crop_002,suwon,불날개닭발,amenity=restaurant,ok,1,1
suwon__49__crop_001,suwon,세진상사,shop=hardware,ok,1,1
suwon__4__crop_002,suwon,밥 해주는 남자,amenity=restaurant,ok,1,1
suwon__50__crop_001,suwon,조순헤어샵,shop=hairdresser,ok,1,1
suwon__50__crop_002,suwon,지지베네일,shop=beauty,ok,1,1
suwon__51__crop_001,suwon,비젼,office=estate_agent,ok,1,1
suwon__52__crop_001,suwon,모나리자,shop=hairdresser,ok,1,1
suwon__53__crop_001,suwon,SooChon,amenity=restaurant,ok,1,1
suwon__54__crop_001,suwon,북촌손만두,amenity=restaurant,ok,1,1
