region,det_crop,status,gt_crop,gt_tag,pred_name,pred_tag,ocr_text
gangnam,gangnam__2__crop_001,TP,gangnam__2__crop_001,amenity=cafe,HERRY'S COFFEE,amenity=cafe,HERRY'S / COFFEE
gangnam,gangnam__20__crop_001,TP,gangnam__20__crop_001,amenity=restaurant,THE PLACE ITALIAN URBAN BISTRO,amenity=restaurant,THE / PLACE / ITALIAN URBAN BISTRO
gangnam,gangnam__20__crop_002,FP,,,THE PLACE ITALIAN URBAN BISTRO,amenity=restaurant,THE / PLACE / ITALIAN URBAN BISTRO
gangnam,gangnam__21__crop_001,TP,gangnam__21__crop_001,amenity=ice_cream,baskin Robbins,amenity=ice_cream,baskin Robbins
gangnam,gangnam__22__crop_001,TP,gangnam__22__crop_002,,Google,office=company,SA / 집20 Google / 체인문의: 1688·2868 / 꽃보리 / 행사장섭니다
gangnam,gangnam__22__crop_002,TP,gangnam__22__crop_001,amenity=restaurant,혜화 돌쇠,amenity=restaurant,2021 Google / 혜화 돌쇠 / 아저씨 / 2021 Google / 고르곤 졸라 피자 / 헤화 동스
gangnam,gangnam__23__crop_001,FP,,,KOREAN RESTAURANT,amenity=restaurant,뼈대 / 지점문의 / 체인점문의 016737 / 빠데 / KOREAN RESTAURANT / 주소전화 : (032) 677-1337
gangnam,gangnam__23__crop_002,TP,gangnam__23__crop_001,amenity=restaurant,문교동낙지,amenity=restaurant,문교동낙지 / 전문점 / 본고 땅낙지
gangnam,gangnam__24__crop_001,TP,gangnam__24__crop_001,amenity=fast_food,SUBWAY,amenity=fast_food,SUBWAY
gangnam,gangnam__25__crop_001,TP,gangnam__25__crop_001,,GOLD,shop=clothes,GOLD
gangnam,gangnam__26__crop_001,TP,gangnam__26__crop_001,,맛있는,amenity=cafe,맛있는 / CAFE thanks
gangnam,gangnam__27__crop_001,TP,gangnam__27__crop_001,shop=convenience,CU,shop=convenience,CU / BGF리테일 / CVS for YOU / BGF레퍼럴
gangnam,gangnam__28__crop_001,TP,gangnam__28__crop_001,amenity=cafe,THE CAFE,amenity=cafe,THE CAFE 8G8 / 이탈리안 젤라또 커피 / 이탈리안 갤러리 카페
gangnam,gangnam__29__crop_001,TP,gangnam__29__crop_001,amenity=bar,오페라,amenity=bar,opera / 오페라 / 라이브 유흥주점
gangnam,gangnam__3__crop_001,TP,gangnam__3__crop_001,amenity=restaurant,Yomenya Goemon,amenity=restaurant,Yomenya Goemon / Japanese Spaghetti
gangnam,gangnam__3__crop_002,FP,,,CAS,office=company,CAS / JOV
gangnam,gangnam__30__crop_001,FP,,,새마을휘트니스,leisure=fitness_centre,건강이 생활이 되는 / 새마을휘트니스 26호 강남역점 24시간 운영 / 불랑리스 게승개 / 불랑존 한신옥가 불랑플러스큰 전동안국의자 프리리엄 불스구도업 / 새마을휘트니스 / T.02.562.0161 오시는 길 / G
gangnam,gangnam__31__crop_001,TP,gangnam__31__crop_001,amenity=restaurant,국빈씨,amenity=restaurant,國 / 국빈씨 Chinese Res / T.566-4531
gangnam,gangnam__32__crop_001,TP,gangnam__32__crop_001,amenity=bar,IZAKAYATAN,amenity=restaurant,Japanese dish / IZAKAYATAN / 몬크 / fh
gangnam,gangnam__33__crop_001,TP,gangnam__33__crop_001,shop=bakery,Dunkin',amenity=fast_food,한식 bierhof / bierhof / bierhof / DUNKIN' DONUTS / DD / DUNKIN' / ©2019 Google / 판식 / 뷔페
gangnam,gangnam__34__crop_001,TP,gangnam__34__crop_001,shop=convenience,MINI STOP,shop=convenience,hiarhof / 비이어호프 / hiarhof / hiarhof / MINI STOP 역삼타위점 / MINI STOP 역 / Mini / MINI CAFE / 협동노동자 / 비이오피 11:30~14:30 / 익산타워
gangnam,gangnam__36__crop_001,FP,,,삐삐,shop=clothes,삐삐 / 피 / 치킨호프 / 지킨호프 / 참 / 565-5687
gangnam,gangnam__37__crop_001,TP,gangnam__37__crop_001,shop=optician,아이스크림안녕,amenity=ice_cream,eye scream / 1931 / 아이스크림안녕
gangnam,gangnam__38__crop_001,TP,gangnam__38__crop_001,amenity=cafe,CANDLE & SOAP,shop=beauty,SOAP / CANDLE / CANDLE & SOAP
gangnam,gangnam__39__crop_001,TP,gangnam__39__crop_001,amenity=restaurant,세무사김영덕사무,office=company,세무사김영덕사무 / 쭈꾸미불낙 / 566-4574
gangnam,gangnam__4__crop_001,TP,gangnam__4__crop_001,amenity=bar,CASA JOVEN,amenity=bar,기시도 / CASA / JOVEN / 481-8666
gangnam,gangnam__40__crop_001,TP,gangnam__40__crop_001,amenity=bar,로빈힐,amenity=bar,로빈힐 BEER & 생맥주 / BEER & 셋째두 / 앙세피로엔 예약 / TT:555-6252
gangnam,gangnam__41__crop_001,TP,gangnam__41__crop_001,shop=stationery,모닝클로리,shop=stationery,모닝클로리 / 강남역점
gangnam,gangnam__42__crop_001,TP,gangnam__42__crop_001,amenity=restaurant,불 아능족발 보쌈 순대국,amenity=restaurant,불 아능족발 보쌈 순대국 / 565-8999 / 본점 / 입흑마늘쪽박 빙·본대국
gangnam,gangnam__43__crop_001,TP,gangnam__43__crop_001,shop=convenience,7ELEVEN,shop=convenience,7ELEVEN
gangnam,gangnam__44__crop_001,TP,gangnam__44__crop_002,amenity=restaurant,영꺼,amenity=restaurant,"2층으로 오세요 (₩ 6,000) / 오세요 / 100% / 고기 국내산 1등품 생고기 / 영꺼 등곱 데기 / 껍데기 / 김치찌개 동 / 生코기 / 김치제개 / 영팬대기 / 568-9592"
gangnam,gangnam__44__crop_002,FP,,,고기,amenity=restaurant,생고기 / 고기 / 김치찌개
gangnam,gangnam__45__crop_001,TP,gangnam__45__crop_001,amenity=restaurant,영동,amenity=restaurant,영동 / 100% 국내산 1등급 생고기 / 껍데기 소금구이
gangnam,gangnam__45__crop_002,FP,,,영동 식당,amenity=restaurant,영동 식당 김치찌개
gangnam,gangnam__45__crop_003,FP,,,CASS,amenity=cafe,가고싶은 식당 / CASS
gangnam,gangnam__46__crop_001,FP,,,토돼지,amenity=restaurant,토돼지김치찌개 / 토돼지 / O / o / 동돼지김치돼지개
gangnam,gangnam__46__crop_002,FP,,,통돼지찌개집,amenity=restaurant,통돼지찌개집 / 동대길 찌개집
gangnam,gangnam__46__crop_003,FP,,,사랑그리고구이,amenity=restaurant,화로구이 / 새고기 / 좋은고기 / o / 사랑그리고구이
gangnam,gangnam__47__crop_001,TP,gangnam__47__crop_001,amenity=restaurant,숙성한우와 나주곰탕,amenity=restaurant,e Ge F3 / 숙성한우와 나주곰탕 전문점 / NAJUGA / 가맹점문의 T.567-9288
gangnam,gangnam__48__crop_001,TP,gangnam__48__crop_001,amenity=restaurant,FOOD CAFE,amenity=cafe,"FOOD / CAFE 정보통신원 / 김병철, 박선영"
gangnam,gangnam__49__crop_001,TP,gangnam__49__crop_001,shop=bakery,파리바게뜨,shop=bakery,PARIS BAGUETTE / 파리바게뜨
gangnam,gangnam__5__crop_001,TP,gangnam__5__crop_001,amenity=fast_food,MOS BURGER,amenity=fast_food,MOS BURGER
gangnam,gangnam__51__crop_001,TP,gangnam__51__crop_001,shop=convenience,GS25,shop=convenience,o / GS25 / Friendly / Fresh / GS25 / Fresh / Fun
gangnam,gangnam__52__crop_001,TP,gangnam__52__crop_001,amenity=clinic,미즈메디 병원,amenity=clinic,미즈메디 병원 / Miz Medi Hospital
gangnam,gangnam__52__crop_002,FP,,,미즈메디 병원,amenity=clinic,미즈메디 병원 / Miz Medi Hospital
gangnam,gangnam__53__crop_001,TP,gangnam__53__crop_001,,커피볶는집,amenity=cafe,커피볶는집 / 대치본점 / 커피볶는집 / 대치본점 / 체인 / parking / 대치 돈까스 정식 / SINCE 2001 / 대전 문의 TEL:568-6482
gangnam,gangnam__54__crop_001,TP,gangnam__54__crop_002,leisure=fitness_centre,필라테스 & 플라잉요가,leisure=fitness_centre,대치점 568-1977 / ZUM / 필라테스 & / 플라잉요가 / 0. / 페라테이스 & 페라이밍.요가
gangnam,gangnam__54__crop_002,TP,gangnam__54__crop_001,amenity=school,ΣEM학원,amenity=school,ΣEM학원 / 수학전문
gangnam,gangnam__54__crop_003,FP,,,Σ래 ΣEM학원,amenity=school,Σ래 ΣEM학원 / 수학전문
gangnam,gangnam__55__crop_001,TP,gangnam__55__crop_002,amenity=restaurant,로얄키친,amenity=restaurant,당신만을 위한 작은 부엌 / 로얄키친 / 서울 / ROYAL KITCHEN 02 566 1016
gangnam,gangnam__55__crop_002,TP,gangnam__55__crop_001,office=estate_agent,대성,office=company,Since 1985 / 대성 / 실 상업공간 리모델링 유지보수 / 대전본점 555-8364
gangnam,gangnam__55__crop_003,FP,,,발원,office=company,발원 / 21
gangnam,gangnam__55__crop_004,TP,gangnam__55__crop_003,amenity=restaurant,로얄키친,amenity=restaurant,로얄키친 / 025661016
gangnam,gangnam__56__crop_001,TP,gangnam__56__crop_002,office=estate_agent,믿음 부동산,office=estate_agent,부동산 법률중개사 / 공인중개사 / 믿음 부동산 / 사무소 / 5555-686
gangnam,gangnam__56__crop_002,TP,gangnam__56__crop_001,,흥아삼합,amenity=restaurant,홍어삼합 생선구이 / 생선조림 갈치조림 / 해남세발낙지 558-6660 / 흥아삼합 생산구이
gangnam,gangnam__57__crop_001,TP,gangnam__57__crop_002,office=estate_agent,솔로론 공인중개 사무소,office=estate_agent,솔로론 공인중개 사무소 / 2051-9000 / 허가번호 9250-7290
gangnam,gangnam__57__crop_002,TP,gangnam__57__crop_001,shop=books,삼성서점,shop=books,대 / 삼성서점 / 지 / 508-1441
gangnam,gangnam__58__crop_001,TP,gangnam__58__crop_001,amenity=karaoke_box,VIP 노래방,amenity=karaoke_box,VIP 노래방
gangnam,gangnam__58__crop_002,TP,gangnam__58__crop_002,shop=health_food,정관장,shop=health_food,정관장 / 대치원점 / www.kgc.or.kr / 선취권 (주)한국금속협동조합 / 홍삼 / 566-2206 / 대표번호
gangnam,gangnam__59__crop_001,TP,gangnam__59__crop_002,amenity=karaoke_box,노래방,amenity=karaoke_box,노래방 / VIP
gangnam,gangnam__59__crop_002,TP,gangnam__59__crop_001,amenity=pharmacy,메디팜 나리약국,amenity=pharmacy,MEDIPHARM / 메디팜 나리약국 / TEL. 565-6645
gangnam,gangnam__59__crop_003,TP,gangnam__59__crop_003,shop=health_food,정관장,shop=health_food,正官庄 / www.kgc.or.kr / 신청해 기한 / (주)한국국민상공투자 / 정관장
gangnam,gangnam__6__crop_001,TP,gangnam__6__crop_001,amenity=cafe,헤리 스 커피,amenity=cafe,HERRY'S COFFEE / 1577-2307 / 헤리 스 커피 서울 본점
gangnam,gangnam__60__crop_001,TP,gangnam__60__crop_001,amenity=school,이수정 국어 논술,amenity=school,달 / 이수정 국어 논술 / Think Different & Be the Best / 이수정 국어 논술
gangnam,gangnam__61__crop_001,TP,gangnam__61__crop_002,shop=convenience,MINI STOP,shop=convenience,MINI STOP / 田지시내 2
gangnam,gangnam__61__crop_002,TP,gangnam__61__crop_001,amenity=cafe,PAIK'S COFFEE,amenity=cafe,PAIK'S COFFEE / 대치동학한가점 02.553.3515 / 대표택배함/02.553.3515
gangnam,gangnam__62__crop_001,TP,gangnam__62__crop_001,shop=convenience,MINISTOP,shop=convenience,MINISTOP / 대치시내점 / 대지 지사내정
gangnam,gangnam__62__crop_002,FP,,,미니스톱,shop=convenience,CGA / MINISTOP / 대치시내점
gangnam,gangnam__63__crop_001,TP,gangnam__63__crop_001,shop=convenience,MINISTOP,shop=convenience,MINISTOP / 대지시내점
gangnam,gangnam__64__crop_001,TP,gangnam__64__crop_003,amenity=study_cafe,시작 스터디카페,amenity=study_cafe,시작 스터디카페 / SIZAK STUDY CAFE / T. 558.5206
gangnam,gangnam__64__crop_002,TP,gangnam__64__crop_002,shop=convenience,미니스톱,shop=convenience,MINI STOP / 대치시내점
gangnam,gangnam__64__crop_003,TP,gangnam__64__crop_001,amenity=restaurant,SUSHI BROS,amenity=restaurant,SUSHI BROS / 초 돈가스전문점 / 6012-5470
gangnam,gangnam__65__crop_001,TP,gangnam__65__crop_001,amenity=cafe,빽다방,amenity=cafe,빽다방 / 빽다방 / PAIK'S COFFEE · 02.553.1515
gangnam,gangnam__66__crop_001,FP,,,지도,amenity=school,지도(제목 없음) / 지도에 대한 설명을 입력하세요.
gangnam,gangnam__66__crop_002,TP,gangnam__66__crop_001,,퓨전 종합분식점,amenity=restaurant,김 / Global No. / 퓨전 종합분식점 대치점 539-1339 / 430 / 표전 통관식별 / 대취지 539-1339
gangnam,gangnam__66__crop_003,TP,gangnam__66__crop_002,office=estate_agent,으뜸 공인중개사,office=estate_agent,으뜸 공인중개사 / 공안중개사
gangnam,gangnam__67__crop_001,TP,gangnam__67__crop_002,office=estate_agent,천재 공인중개사 사무소,office=estate_agent,천재 공인중개사 사무소 553-8889 / 대표: 이상례 / 대표: 이성래
gangnam,gangnam__67__crop_002,TP,gangnam__67__crop_001,shop=motorcycle,한강오토바이,shop=motorcycle,"한강오토바이 / T,553-4801"
gangnam,gangnam__68__crop_001,FP,,,8888-3,office=company,8888-3
gangnam,gangnam__68__crop_002,TP,gangnam__68__crop_001,shop=clothes,LYNN,shop=clothes,by LYNN / designed feminine
gangnam,gangnam__69__crop_001,TP,gangnam__69__crop_001,amenity=restaurant,미래향,amenity=restaurant,미래향 / 정통중화요리 / 정동중학교리
gangnam,gangnam__7__crop_001,TP,gangnam__7__crop_002,amenity=restaurant,딸부자네물,amenity=restaurant,딸부자네물 / 강남역9구중구 535-8663 / 할무자네 불백 / DDALBUJA BULBAEK / 경상북도 김천시 535-8663
gangnam,gangnam__7__crop_002,TP,gangnam__7__crop_003,shop=convenience,7ELEVEN,shop=convenience,7ELEVEN
gangnam,gangnam__7__crop_003,TP,gangnam__7__crop_001,amenity=restaurant,Pomato,amenity=restaurant,G2019 / Pomato / N / 김남2호점62535-2070 / 해인본사021887-4285 / Proud / 경상윤종 02)953-2670
gangnam,gangnam__7__crop_004,FP,,,Pomato,amenity=restaurant,2019 / Pomato / N / 김남2로점 021535-2670 / 채인본사 021887-4285 / Rloud / 세일점 본사 02)687-4285
gangnam,gangnam__70__crop_001,TP,gangnam__70__crop_003,amenity=bar,민속주점,amenity=bar,민속주점 / T.564-1689 / 민속공예
gangnam,gangnam__70__crop_002,TP,gangnam__70__crop_001,amenity=restaurant,병천순대,amenity=restaurant,"전통융식 병천순대 / 일반음식점 대치호점 / 전통음식 / 병철순대 / 일반음식점 대지마을 T,563-1182"
gangnam,gangnam__70__crop_003,FP,,,한강,office=company,한강
gangnam,gangnam__70__crop_004,TP,gangnam__70__crop_002,amenity=restaurant,라라감자탕,amenity=restaurant,요일 / 라라감자탕 / 메뉴 / 대치점 www.rara24.com / 메이 메이 / 아라 강짜랑 / 대표정
gangnam,gangnam__71__crop_001,TP,gangnam__71__crop_002,amenity=bar,맥투창고,amenity=bar,맥투창고 / 세계맥주 할인점 B1 / 백두창고
gangnam,gangnam__71__crop_002,TP,gangnam__71__crop_001,amenity=clinic,금초한의원,amenity=clinic,금초한의원 / B
gangnam,gangnam__71__crop_003,TP,gangnam__71__crop_003,amenity=book_cafe,박지향 Book Cafe,amenity=book_cafe,박지향 Book Cafe / 2F / 02-2135-1411
gangnam,gangnam__72__crop_001,TP,gangnam__72__crop_001,shop=convenience,CU,shop=convenience,CU / CVS for You
gangnam,gangnam__73__crop_001,TP,gangnam__73__crop_001,shop=hairdresser,정재용헤어,shop=hairdresser,HAIR SALON / 정재용헤어 / by JUNG JAE YONG
gangnam,gangnam__73__crop_002,TP,gangnam__73__crop_002,shop=hairdresser,홈 HAIR SALON,shop=hairdresser,홈 HAIR SALON / by JUNG JAE YONG
gangnam,gangnam__74__crop_001,TP,gangnam__74__crop_001,amenity=restaurant,Korean Bob Time,amenity=restaurant,브리또&주먹밥 / Korean Bob Time / 대치점: 02-501-8009 가맹문의 / 방탄할까? / 매치점 : 02-501-8009 / 가맹문의 : 031-750-0008
gangnam,gangnam__74__crop_002,TP,gangnam__74__crop_002,shop=bakery,MARIAN,amenity=restaurant,MARIAN
gangnam,gangnam__75__crop_001,TP,gangnam__75__crop_001,amenity=restaurant,함박웃음,amenity=restaurant,밥 / 함박웃음 / 분식
gangnam,gangnam__76__crop_001,TP,gangnam__76__crop_001,office=estate_agent,강남공인중개사사무소,office=estate_agent,강남 공인중개 / 강남공인중개사사무소 / 대표조군청 사무 / www.apt2459.co.kr 호 e대표조www at49.c. r / com / 557-2459 유니에셋 557-245 / 유니에셋 / www.apt24
gangnam,gangnam__77__crop_001,TP,gangnam__77__crop_001,office=estate_agent,대치래미안,office=estate_agent,TEL 558 - 0123 / 대표 박은숙 / 대치래미안 / 공인중개사 사무소
gangnam,gangnam__77__crop_002,TP,gangnam__77__crop_002,office=estate_agent,공인중개사 사무소,office=estate_agent,영광 / 공인중개사 사무소 / 508-8249
gangnam,gangnam__77__crop_003,FP,,,홍계사,office=estate_agent,중개사 사무소 / 1515 / 홍계사
gangnam,gangnam__78__crop_001,TP,gangnam__78__crop_002,shop=furniture,리빙인테리어,shop=furniture,리빙인테리어 / 565-6647
gangnam,gangnam__79__crop_001,TP,gangnam__79__crop_001,shop=convenience,GS25,shop=convenience,사무실 / Friendly / Fresh Fun / GS25 / 지이エス25 / Fun / Fun 강남한떡점 / 지 에스 25 / 강남역 택배함
gangnam,gangnam__79__crop_002,FP,,,M,amenity=cafe,M
gangnam,gangnam__79__crop_003,TP,gangnam__79__crop_002,amenity=restaurant,계몽극장,amenity=restaurant,한터역영화 / 계몽극장 / 후어삼합 / 윤태덕영화계 / 시레기군과 가장 날리씨 / 계몽통신 / 흥애사람들 두루치기 거글거글이 도가닥걸리
gangnam,gangnam__8__crop_001,TP,gangnam__8__crop_002,shop=convenience,7ELEVEN,shop=convenience,7ELEVEN
gangnam,gangnam__8__crop_002,TP,gangnam__8__crop_001,,하루,amenity=restaurant,하루 HÀRṳ / 한입 ONE BITE / SANDWICH · SALAD · FRUIT · SOUP / RICECAKE · SNACKS · COFFEE / Mr. 복권이
gangnam,gangnam__8__crop_003,TP,gangnam__8__crop_003,shop=beauty,중국정통 발관리 전문점,shop=health_food,중국정통 발관리 전문점 / THE FOOT SHOP / www.thefootshep.cn 561-1688 7F / 중국전통방매안의 전문점
gangnam,gangnam__8__crop_004,FP,,,Saboten,amenity=restaurant,Saboten
gangnam,gangnam__8__crop_005,FP,,,하루,amenity=restaurant,하루 HARU / 4 / 한입ONEBITE 돈부리 / ELEVEN / CLA M ME / 이CCA KCO / 하루 HÀRÜ / 샌드위치 SALAD 덮밥 BOWL / 쉐이크 SHAKE 음료 DRINK 커피 COFFEE
gangnam,gangnam__80__crop_001,TP,gangnam__80__crop_001,shop=convenience,GS25,shop=convenience,Friendly Fresh Fun / GS25 / 자이니스2FunFun 강남한타장
gangnam,gangnam__81__crop_001,TP,gangnam__81__crop_002,amenity=restaurant,계몽돈까스,amenity=restaurant,B1 / 한터역직영점 / 새우깡 / 계몽돈까스 / 홍어삼합 두루치기 짜글짜글이 도가막걸리 / 사로국명완낵장 / 게몽동가스 / 호시삼백 듥치기 푤젒금이 도가따ᄁ
gangnam,gangnam__81__crop_002,FP,,,MAMM,amenity=school,MAMM
gangnam,gangnam__81__crop_003,TP,gangnam__81__crop_001,shop=convenience,GS25,shop=convenience,증 / Friendly / Fresh / GS25 / Fun / Friendly / 강남인덱스점
gangnam,gangnam__82__crop_001,TP,gangnam__82__crop_001,amenity=restaurant,김영희 동태찜,amenity=restaurant,이OL / 영어 / 학원 / T.2052-0582 / 해물요리 1등 브랜드 / 김영희 동태찜 & 대치직영점 / 브랜드 / 김영희 동태찜 / 김영혁 농대협 & 군산리내역 / 국제학교 t.541-5939
gangnam,gangnam__83__crop_001,TP,gangnam__83__crop_001,amenity=restaurant,동태찜 & 코다리냉면,amenity=restaurant,"t / 성민영 / 홍성 / 이고 / 대치직영점 - T. 561,5007 / 동태찜 & 코다리냉면 / 김영희 / 해물요리 1등 브랜드 / 청민역 어기 / 김영호 동태협 & 군다리냉면"
gangnam,gangnam__84__crop_001,TP,gangnam__84__crop_001,office=company,상품권닷컴,shop=convenience,LOTTO / 상품권닷컴 / toto / 티켓코리아 T.3452-8118 상품권닷컴 / 상품권단겹 / 1010 / 타겟코리아 / 상품권단겹
gangnam,gangnam__84__crop_002,FP,,,한터,amenity=restaurant,수제돈까스 모밀 전문점 / 한터 / 하락스
gangnam,gangnam__84__crop_003,TP,gangnam__84__crop_002,amenity=restaurant,Pasta Dough,amenity=restaurant,Pasta Dough / Italian Cuisine / 2019 Good
gangnam,gangnam__85__crop_001,TP,gangnam__85__crop_001,office=company,상품권닷컴,shop=convenience,LOTO / 상품권닷컴 / toto / 티켓코리아 T.3452-8118 상품권닷컴 / 상품권판매점 / 타겟코리아 / 상품권판매점
gangnam,gangnam__85__crop_002,TP,gangnam__85__crop_002,amenity=restaurant,Pasta Dough,amenity=restaurant,Pasta Dough / Italian Cuisine
gangnam,gangnam__87__crop_001,TP,gangnam__87__crop_002,amenity=bar,BROZ PUB,amenity=bar,세계맥주할인점 / BROZ PUB / 비어락
gangnam,gangnam__87__crop_002,TP,gangnam__87__crop_001,shop=beauty,엠엑스,amenity=pharmacy,피부과 / MX / 엠엑스 / T.564-8222 / 3F / 에메스 목욕
gangnam,gangnam__89__crop_001,TP,gangnam__89__crop_001,shop=convenience,씨유,shop=convenience,Nice to CU / 씨유대체사인경
gangnam,gangnam__89__crop_002,FP,,,광명시립박물관,tourism=museum,광명시립박물관
gangnam,gangnam__9__crop_001,FP,,,NATIONAL SHINJUKU DON,amenity=restaurant,boten / ATIONAL SHINJUKU DON / ISU
gangnam,gangnam__90__crop_001,TP,gangnam__90__crop_001,shop=convenience,CU,shop=convenience,JUV / Nice to / CU
gangnam,gangnam__90__crop_002,TP,gangnam__90__crop_002,amenity=pharmacy,필리아,amenity=pharmacy,필리아 / 약국 / 연중무휴 / 6116
gangnam,gangnam__91__crop_001,TP,gangnam__91__crop_001,shop=convenience,보당건집,shop=jewelry,강 / 보당건집 / 공단 / 약 / CU / Nice to
gangnam,gangnam__92__crop_001,TP,gangnam__92__crop_001,shop=beauty,paole,shop=hairdresser,paole / Nai
gangnam,gangnam__96__crop_001,TP,gangnam__96__crop_001,amenity=study_cafe,비에이블,amenity=study_cafe,비에이블 / 스터디카페 24시 / 대치2센터 010-4186-3008 / B1 / 비에이블 / 스타다카폐 24시 / 대치2센터
gangnam,gangnam__97__crop_001,FP,,,,unknown,
gangnam,gangnam__97__crop_002,FP,,,Gexis,office=company,©2019 Gexis
gangnam,gangnam__97__crop_003,FP,,,THE,amenity=bar,THE
gangnam,gangnam__98__crop_001,TP,gangnam__98__crop_001,amenity=post_office,KOREA POST,amenity=post_office,서울특별시4동 / KOREA POST / 우편취급국 / 우체국보험 / 서울대학교 4동
gangnam,gangnam__99__crop_001,TP,gangnam__99__crop_001,amenity=school,워너비,amenity=school,WB / 워너비 / EDUCATION / 02.557.7957 / ENGLISH
brooklyn,brooklyn__1__crop_001,TP,brooklyn__1__crop_001,amenity=restaurant,MEDITERRANEAN CUISINE,amenity=restaurant,MEDITERRANEAN CUISINE / CUISINE / FRESH / 602 OFF THE GRILL / 347-240-6628
brooklyn,brooklyn__10__crop_001,TP,brooklyn__10__crop_002,amenity=restaurant,ISLAND & RIBHOUSE,amenity=restaurant,ISLAND & RIBHOUSE / 611 Nostrand Ave. / BBQ
brooklyn,brooklyn__10__crop_002,TP,brooklyn__10__crop_001,,MOD,amenity=restaurant,SPACE / AVAILABLE / MOD / 718-249-3613 / MEYER / M@MODCRE.COM
brooklyn,brooklyn__100__crop_001,TP,brooklyn__100__crop_001,shop=supermarket,BARGAINLAND,shop=clothes,BARGAINLAND / DEPARTMENT STORES / 2024 Google / 1500 Fulton St BARGAINLAND 718-221-2240
brooklyn,brooklyn__11__crop_001,FP,,,PAY-O matic,amenity=bank,Financial S / PAY-O matic Checks Cashed / Debit Card Bills Paid Money Orders ATM / abit Card
brooklyn,brooklyn__11__crop_002,TP,brooklyn__11__crop_001,,ELITE SOLUTIONS,office=company,TAX / ELITE SOLUTIONS / INC. / elitetaxsolutionsinc.com / 646 Tel: 718.484.4131 Fax: 718.484.4132
brooklyn,brooklyn__12__crop_001,TP,brooklyn__12__crop_001,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE / 611 Nostrand Ave BBQ
brooklyn,brooklyn__12__crop_002,FP,,,613 FRESH DI,shop=convenience,613 FRESH DI
brooklyn,brooklyn__13__crop_001,TP,brooklyn__13__crop_001,shop=supermarket,FOOD WINE GROCER,shop=supermarket,We Love You 656 / FOOD WINE GROCER
brooklyn,brooklyn__13__crop_002,TP,brooklyn__13__crop_002,leisure=fitness_centre,9ROUND,leisure=fitness_centre,9ROUND / 30 MIN KICKBOX FITNESS / LinkNYC
brooklyn,brooklyn__14__crop_001,TP,brooklyn__14__crop_001,,Rosalia's Cafe,amenity=cafe,Rosalia's Cafe
brooklyn,brooklyn__14__crop_002,TP,brooklyn__14__crop_002,shop=beauty,Hello One Nail Spa,shop=beauty,Hello One Nail Spa / Inc
brooklyn,brooklyn__15__crop_001,TP,brooklyn__15__crop_002,shop=supermarket,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER
