image_name,gt_text,source
brooklyn__66__crop_002,871\nMOZEB,human
brooklyn__68__crop_001,UNISEX SALON\n###,human
brooklyn__68__crop_002,Franklin Eyecare\n###,human
brooklyn__69__crop_001,AMY UNIQUE NAILS INC\nPROFESSIONAL NAIL CARE DESIGNS\n###,human
brooklyn__69__crop_002,SMOK \nSHOP\n###,human
brooklyn__69__crop_003,Lemon\nGrass\nJAMAICAN CUISINE\n###,human
brooklyn__70__crop_001,JUICY KING CRAB\n###,human
brooklyn__70__crop_002,JUICY KING CRAB\n###,human
brooklyn__71__crop_001,NAILS\n###,human
brooklyn__73__crop_001,POPEYES,human
brooklyn__73__crop_002,SuperFoodtown,human
brooklyn__75__crop_001,NEXT LEVEL\nFashions\n###,human
brooklyn__75__crop_002,Modern Nails\n###,human
brooklyn__76__crop_001,Modern Nails\n###,human
brooklyn__77__crop_001,Modern Nails\n###,human
brooklyn__77__crop_002,Mini Market\n###,human
brooklyn__78__crop_001,MNS 99 CENTS UP INC,human
brooklyn__79__crop_001,HAIR STUDIO\n###,human
brooklyn__7__crop_001,SPACE AVAILABLE\n###,human
brooklyn__80__crop_001,FULTON\n###,human
brooklyn__80__crop_002,Soldier Restaurant Inc\nBuffet\n###,human
brooklyn__80__crop_003,HAIR STUDIO\n###,human
brooklyn__81__crop_001,BEAUTY SUPPLY\n###,human
brooklyn__83__crop_001,FULTON\n###,human
brooklyn__83__crop_002,A GUSTO\n###,human
brooklyn__85__crop_002,LAUNDROMAT\n###,human
brooklyn__86__crop_002,Dominos\n###,human
brooklyn__87__crop_001,DOG DAYCARE,human
brooklyn__88__crop_001,Blooming Brows\n###,human
brooklyn__89__crop_001,Dreamer\nNails\n###,human
brooklyn__8__crop_001,NAILS\n###,human
brooklyn__90__crop_001,AR POSTAL MULTISERVICES\n###,human
brooklyn__91__crop_001,SOGHO HAIR Salon BRAIDING\n###,human
brooklyn__92__crop_002,NAIL,human
brooklyn__93__crop_001,AMINATA\nBRAIDING STYLING\n###,human
brooklyn__94__crop_001,RICKY S\n###,human
brooklyn__94__crop_002,NEW PEOPLES RESTAURANT\nCHINESE FOOD TO TAKE OUT\n###,human
brooklyn__94__crop_003,HARDWARE\n###,human
brooklyn__95__crop_001,NEW PEOPLES RESTAURANT\nCHINESE FOOD TO TAKE OUT\n###,human
brooklyn__95__crop_002,HARDWARE\n###,human
brooklyn__96__crop_001,Rockaway GOURMET DELI GRILL\n###,human
brooklyn__97__crop_001,BEAUTY SUPPLY INC\n###,human
brooklyn__97__crop_002,NAILS Inc\n###,human
brooklyn__97__crop_003,Rockaway GOURMET DELI GRILL\n###,human
brooklyn__98__crop_001,BARGAINLAND\nDEPARTMENT STORES\n###,human
brooklyn__98__crop_002,BEAUTY SUPPLY INC\n###,human
brooklyn__98__crop_003,NAILS Inc\n###,human
brooklyn__99__crop_002,eyes nyc\n###,human
brooklyn__9__crop_001,JOHN GARDEN\nChinese Food to Take out\n###,human
