image_name,gt_text,source
suwon__65__crop_002,콩미가 손두부\n###,human
suwon__65__crop_003,VALE,ocr_draft
suwon__66__crop_001,대우 마이홈\n###,human
suwon__66__crop_002,VALENTI\n###,human
suwon__67__crop_001,어부돈가\n###,human
suwon__68__crop_001,VALENTI\n###,human
suwon__69__crop_001,신성 자동차 정비\n###,human
suwon__70__crop_001,신성공업사\n###,human
suwon__70__crop_002,신성,human
suwon__71__crop_001,참숯구이\n###,human
suwon__72__crop_001,골목집\n###,human
suwon__73__crop_001,원조\n해장국 수육\n###,human
suwon__73__crop_002,유치회관\n###,human
suwon__74__crop_001,4900냥\n순대국\n###,human
suwon__75__crop_001,교육그룹 정진\n###,human
suwon__76__crop_001,24시 정통마사지\n###,human
suwon__76__crop_002,럭셔리\n노래팡팡\n지하,human
suwon__77__crop_001,스타일\nMOTEL,human
suwon__77__crop_002,스타일,human
suwon__78__crop_001,모텔 스타일주차장,human
suwon__79__crop_001,소원식당\n기사식당\n###,human
suwon__7__crop_001,sharalla\nBrush\n###,human
suwon__81__crop_001,시골집\n###,human
suwon__82__crop_001,시골집\n###,human
suwon__83__crop_001,시온성\n###,human
suwon__83__crop_002,짱\nPC방,human
suwon__84__crop_001,수임 엔틱 가구,human
suwon__85__crop_001,대게 킹크랩 랍스터\n대 게 나 라 수원점\n###,human
suwon__86__crop_001,수입 엔틱 가구,human
suwon__86__crop_002,VERONA\n###,human
suwon__87__crop_001,HOTEL ILMARE,human
suwon__89__crop_001,유료주차장\n###,human
suwon__8__crop_001,경훈약국,human
suwon__90__crop_001,가르마\nGarma Hair\n###,human
suwon__91__crop_001,부안 바지락촌\n###,human
suwon__92__crop_001,본\n신촌옥 설렁탕 해장국\n점\n###,human
suwon__93__crop_002,PREMIUM MULTI SHOP\n###,human
suwon__94__crop_001,라미 웨딩쥬얼리\n###,human
suwon__96__crop_001,르노삼성자동차 인계점\n###,human
suwon__97__crop_001,어구미\n###,human
suwon__98__crop_001,어구미\n###,human
suwon__99__crop_001,RESTAURANT,human
suwon__9__crop_001,ISaac\n###,human
