det_crop,photo,gt_index,iou,conf,status
gangnam__61__crop_002,gangnam__61,1,0.9525,0.9486,TP
gangnam__62__crop_001,gangnam__62,1,0.6028,0.3759,TP
gangnam__62__crop_002,gangnam__62,,0.2665,0.2846,FP
,gangnam__62,2,0.0,,FN
gangnam__63__crop_001,gangnam__63,1,0.9745,0.9197,TP
gangnam__64__crop_001,gangnam__64,3,0.858,0.7681,TP
gangnam__64__crop_002,gangnam__64,2,0.9728,0.7336,TP
gangnam__64__crop_003,gangnam__64,1,0.9072,0.4707,TP
gangnam__65__crop_001,gangnam__65,1,0.9611,0.9724,TP
,gangnam__65,2,0.0,,FN
gangnam__66__crop_001,gangnam__66,,0.0,0.6584,FP
gangnam__66__crop_002,gangnam__66,1,0.702,0.4374,TP
gangnam__66__crop_003,gangnam__66,2,0.7186,0.3267,TP
gangnam__67__crop_001,gangnam__67,2,0.9488,0.9432,TP
gangnam__67__crop_002,gangnam__67,1,0.8479,0.8594,TP
gangnam__68__crop_001,gangnam__68,,0.0,0.8111,FP
gangnam__68__crop_002,gangnam__68,1,0.9117,0.7866,TP
gangnam__69__crop_001,gangnam__69,1,0.965,0.9883,TP
gangnam__7__crop_001,gangnam__7,2,0.9332,0.9658,TP
gangnam__7__crop_002,gangnam__7,3,0.8718,0.8614,TP
gangnam__7__crop_003,gangnam__7,1,0.868,0.5463,TP
gangnam__7__crop_004,gangnam__7,,0.0,0.2815,FP
gangnam__70__crop_001,gangnam__70,3,0.9323,0.7451,TP
gangnam__70__crop_002,gangnam__70,1,0.9546,0.5609,TP
gangnam__70__crop_003,gangnam__70,,0.0,0.5311,FP
gangnam__70__crop_004,gangnam__70,2,0.9241,0.4204,TP
gangnam__71__crop_001,gangnam__71,2,0.9491,0.7941,TP
gangnam__71__crop_002,gangnam__71,1,0.9479,0.4907,TP
gangnam__71__crop_003,gangnam__71,3,0.9038,0.3537,TP
,gangnam__71,4,0.0,,FN
gangnam__72__crop_001,gangnam__72,1,0.9285,0.3079,TP
gangnam__73__crop_001,gangnam__73,1,0.6899,0.8308,TP
gangnam__73__crop_002,gangnam__73,2,0.9228,0.3399,TP
gangnam__74__crop_001,gangnam__74,1,0.9057,0.7715,TP
gangnam__74__crop_002,gangnam__74,2,0.8267,0.3222,TP
gangnam__75__crop_001,gangnam__75,1,0.5282,0.7657,TP
gangnam__76__crop_001,gangnam__76,1,0.5018,0.8126,TP
,gangnam__76,2,0.0,,FN
gangnam__77__crop_001,gangnam__77,1,0.9616,0.8858,TP
gangnam__77__crop_002,gangnam__77,2,0.9801,0.5566,TP
gangnam__77__crop_003,gangnam__77,,0.0,0.4243,FP
gangnam__78__crop_001,gangnam__78,2,0.9463,0.6659,TP
,gangnam__78,1,0.0,,FN
gangnam__79__crop_001,gangnam__79,1,0.9371,0.9679,TP
gangnam__79__crop_002,gangnam__79,,0.0059,0.7078,FP
gangnam__79__crop_003,gangnam__79,2,0.8046,0.4998,TP
gangnam__8__crop_001,gangnam__8,2,0.9208,0.5898,TP
gangnam__8__crop_002,gangnam__8,1,0.9494,0.5429,TP
gangnam__8__crop_003,gangnam__8,3,0.9624,0.4295,TP
gangnam__8__crop_004,gangnam__8,,0.0,0.3578,FP
gangnam__8__crop_005,gangnam__8,,0.0,0.2888,FP
gangnam__80__crop_001,gangnam__80,1,0.905,0.9534,TP
gangnam__81__crop_001,gangnam__81,2,0.966,0.9801,TP
gangnam__81__crop_002,gangnam__81,,0.0,0.9692,FP
gangnam__81__crop_003,gangnam__81,1,0.9825,0.9549,TP
gangnam__82__crop_001,gangnam__82,1,0.9402,0.9602,TP
gangnam__83__crop_001,gangnam__83,1,0.7499,0.3468,TP
gangnam__84__crop_001,gangnam__84,1,0.9622,0.9797,TP
gangnam__84__crop_002,gangnam__84,,0.0,0.9748,FP
gangnam__84__crop_003,gangnam__84,2,0.8977,0.9468,TP
gangnam__85__crop_001,gangnam__85,1,0.9662,0.933,TP
gangnam__85__crop_002,gangnam__85,2,0.924,0.6624,TP
,gangnam__85,3,0.0,,FN
,gangnam__86,1,0.0,,FN
,gangnam__86,2,0.0,,FN
,gangnam__86,3,0.0,,FN
gangnam__87__crop_001,gangnam__87,2,0.9498,0.9422,TP
gangnam__87__crop_002,gangnam__87,1,0.9678,0.9073,TP
,gangnam__88,1,0.0,,FN
gangnam__89__crop_001,gangnam__89,1,0.9641,0.9231,TP
gangnam__89__crop_002,gangnam__89,,0.0,0.6431,FP
gangnam__9__crop_001,gangnam__9,,0.0,0.4055,FP
,gangnam__9,1,0.0,,FN
gangnam__90__crop_001,gangnam__90,1,0.946,0.8985,TP
gangnam__90__crop_002,gangnam__90,2,0.7864,0.8266,TP
gangnam__91__crop_001,gangnam__91,1,0.7408,0.8561,TP
gangnam__92__crop_001,gangnam__92,1,0.8973,0.9226,TP
,gangnam__93,1,0.0,,FN
,gangnam__94,1,0.0,,FN
,gangnam__95,1,0.0,,FN
gangnam__96__crop_001,gangnam__96,1,0.955,0.8658,TP
gangnam__97__crop_001,gangnam__97,,0.4015,0.9296,FP
gangnam__97__crop_002,gangnam__97,,0.1523,0.5818,FP
gangnam__97__crop_003,gangnam__97,,0.2629,0.4211,FP
,gangnam__97,1,0.0,,FN
gangnam__98__crop_001,gangnam__98,1,0.8795,0.8277,TP
gangnam__99__crop_001,gangnam__99,1,0.909,0.6504,TP
